NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
3-LEGGED DOG INC,White,multidisciplinary,N,N,n/a,N,NA,NA,5,652428,-5599431,NA,-270734,1282573,1011839,263750,10006-2206,199909,2012
A GATHERING OF THE TRIBES INC,White,multidisciplinary,Y,N,n/a,Y,NA,NA,NA,NA,-216448,NA,11002,78958,89960,83616,10009-8973,199305,2012
A PUBLIC SPACE LITERARY PROJECTS INC,White,literary arts,N,N,n/a,NA,NA,NA,NA,NA,-19968,-16825,-19601,279565,259964,197861,11217-1906,200711,2012
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-402237,67757,-437821,3026506,2588685,1144162,10019-6831,201101,2012
ACTORS THEATRE WORKSHOP INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-96819,-71264,-25555,179467,153912,140235,10001-6114,199101,2012
AFRICAN POETRY THEATRE INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-114697,NA,18909,289995,308904,285482,11432-5503,198001,2012
ALARM WILL SOUND INC,White,music: other,N,N,n/a,N,NA,NA,1,45000,-1059,2621,1792,403472,405264,129573,10013-2292,200501,2012
AMERICAN BOLERO DANCE COMPANY INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-1479,-2108,629,40295,40924,13452,11101-4916,199810,2012
AMERICAN JEWISH HERITAGE ORGANIZATION INC,White,folk arts/heritage,N,N,Religion: Jewish,N,NA,NA,1,1700,-4870,NA,5634,43248,48882,48872,10024-1158,198409,2012
AMERICAN MODERN ENSEMBLE,White,music: classical,N,N,n/a,N,NA,NA,1,10000,-12622,-12283,-339,105967,105628,79973,10036-6332,200708,2012
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,2,80000,-98385,-137060,38675,627416,666091,320698,10014-2840,198803,2012
ANDREW JANNETTI & DANCERS,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-9468,-9756,268,37058,37326,225,10012-3568,198602,2012
API ARTS AND OUTREACH INC,White,film/electronic/media,N,N,n/a,MD,NA,closed?,1,10000,-80574,-103895,23321,297415,320736,152263,10010-6903,200909,2012
ARCHIVE OF CONTEMPORARY MUSIC,White,music: other,N,N,n/a,N,NA,NA,1,200000,-43690,-47265,3575,267609,271184,230118,10013-3508,198611,2012
ARCOS ORCHESTRA LTD,Multiracial,music: classical,Y,Y,n/a,NA,NA,NA,NA,NA,-15856,-5623,-10233,77912,67679,15025,10032-5806,200811,2012
ARDEA ARTS INC,White,opera,N,N,n/a,N,NA,NA,2,31000,-4128,-44279,33151,66940,100091,96550,10013-2654,200612,2012
ART COUNCIL INC,White,visual arts,N,N,n/a,N,NA,NA,4,127500,-276226,-527547,251321,407523,658844,739965,11201-0000,199809,2012
ART SWEATS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-57129,NA,-88157,289039,200882,31057,10003-8384,199506,2012
