NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
ASIAN AMERICAN ARTS CENTER INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-129203,-89050,-40153,66742,26589,16923,10002-3389,197605,2010
ASIAN AMERICAN WOMEN ARTISTS ALLIANCE INC,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,NA,-4972,-293,-4679,19346,14667,14175,11215-4709,199912,2010
ASIAN AMERICAN WRITERS WORKSHOP INC,Asian/Pacific Islander,literary arts,Y,Y,n/a,NA,NA,NA,4,50000,-114769,5106,-119875,311282,191407,80682,10001-3814,199308,2010
ASIAN CINE-VISION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-69963,-51752,-18211,166812,148601,108327,10001-4010,198704,2010
ASIAN CLASSICS INPUT PROJECT INC,Asian/Pacific Islander,literary arts,N,N,n/a,NA,NA,NA,NA,NA,-45232,-40873,-4359,160169,155810,155810,10003-5204,200310,2010
CHINESE AMERICAN ARTS COUNCIL INCORPORATED,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-93300,-46824,-46476,124018,77542,77542,10012-4603,198209,2010
INDO-AMERICAN ARTS COUNCIL INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,3,25000,-71064,-102677,31613,408521,440134,105857,10128-7673,199901,2010
KAZUKO HIRABAYASHI DANCE THEATRE INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-6966,-2444,-4522,66352,61830,16205,10002-2816,197401,2010
NEW YORK CHINESE CULTURAL CENTER INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-105185,-116286,6808,705081,711889,233504,10013-3512,197812,2010
RATTAPALLAX INCORPORATED,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-831,10342,-11173,96234,85061,70200,10012-0000,200405,2010
SAEKO ICHINOHE AND CO INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,closed 2014?,NA,NA,-500,55,-555,30726,30171,24655,10019-6005,197511,2010
SIKH ART & FILM FOUNDATION INC,Asian/Pacific Islander,multidisciplinary,N,Y,Religion: Sikh,NA,Cultural Heritage,NA,NA,NA,-17399,-14051,-3348,256702,253354,0,10018-9378,200609,2010
SUDDEN ENLIGHTENMENT THEATRE INC,Asian/Pacific Islander,theater,N,Y,n/a,NA,NA,closed?,NA,NA,-4173,-5215,1042,26628,27670,27270,11372-0000,200006,2010
ZHENGUO BEIJING OPERA HOUSE INC,Asian/Pacific Islander,opera,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-3918,5189,-9107,49920,40813,17340,10016-5332,200804,2010
AFRO BRAZIL ARTS INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,NA,-19360,-53446,34086,117284,151370,22712,10009-3716,199208,2010
AUDIENCE DEVELOPMENT COMMITTEE INC,Black,theater,N,Y,n/a,NA,NA,NA,NA,NA,-3427,-3427,-2040,52303,50263,35570,10027-0030,197610,2010
BAIS CHANA WOMEN INTERNATIONAL INC,Black,multidisciplinary,Y,Y,n/a,NA,NA,NA,NA,NA,-12752,-17455,8628,302302,310930,166041,11213-4333,199709,2010
BOYS CHOIR OF HARLEM INC,Black,music: other,N,Y,Youth,NA,NA,closed 2010,NA,NA,-3388475,-3478940,86101,39477,125578,125578,10035-0000,197512,2010
CLASSICAL THEATRE OF HARLEM INC,Black,theater,N,Y,n/a,NA,NA,NA,1,10000,-220283,-230971,10688,378711,389399,203019,10032-6915,200105,2010
CREATIVE OUTLET DANCE THEATRE OF BROOKLYN INC,Black,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-107221,1410,-97589,853124,755535,141939,11217-1506,199604,2010
ERROL GRIMES DANCE GROUP INC,Black,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-62973,-60509,-5691,31602,25911,25911,11205-0000,200202,2010
FREDERICK DOUGLASS CREATIVE ARTS,Black,multidisciplinary,N,Y,n/a,NA,NA,closed?,NA,NA,-78952,9568,-88520,120952,32432,20462,10025-6205,196908,2010
HARLEM SCHOOL OF THE ARTS INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,15,867625,-600259,-741417,70322,3590844,3661166,2416135,10030-1001,196507,2010
HARLEMLIVE INC,Black,multidisciplinary,N,Y,Youth,NA,NA,NA,NA,NA,-9471,-7984,-1487,205086,203599,203589,10027-5537,199911,2010
INNERVISION THEATRE ARTS CENTER INC,Black,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-101254,-37787,-63467,265472,202005,0,11434-4131,201008,2010
MANNA HOUSE WORKSHOPS INC,Black,music: other,Y,Y,n/a,NA,NA,NA,NA,NA,-25927,18255,-44182,175311,131129,77757,10029-4833,196804,2010
MARTIN LUTHER KING JR CONCERT SERIES INC,Black,music: other,N,Y,n/a,NA,NA,NA,NA,NA,-23293,211115,-234408,1286270,1051862,1051678,11201-4421,198306,2010
NATIONAL BLACK TOURING CIRCUIT INC,Black,theater,N,Y,n/a,NA,NA,NA,1,2000,-159424,-147581,-11843,120480,108637,34350,10002-4816,197611,2010
NEW FEDERAL THEATER INC,Black,theater,N,Y,n/a,NA,NA,NA,1,7500,-99875,-84588,-15287,280517,265230,246472,10002-4816,197601,2010
PAN AFRICAN LITERARY FORUM,Black,literary arts,N,Y,n/a,NA,NA,closed?,NA,NA,-21208,0,-21208,53793,32585,32585,10011-8603,200806,2010
UNIVERSAL TEMPLE OF THE ARTS INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,3,20000,-2010,-10914,-2010,70979,68969,68519,10301-2226,198903,2010
CAPOEIRA FOUNDATION INC,Black/Latino,dance: other,Y,Y,n/a,NA,NA,NA,NA,NA,-73521,-8445,-65077,495429,430352,84381,10018-9090,198305,2010
