NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
A PUBLIC SPACE LITERARY PROJECTS INC,White,literary arts,N,N,n/a,NA,NA,NA,NA,NA,-6460,20149,-47549,294031,246482,217920,11217-1906,200711,2014
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-1196064,-856193,-339871,2688941,2349070,795052,10019-6895,201101,2014
ACTORS THEATRE WORKSHOP INC,White,theater,N,N,n/a,N,NA,NA,1,450,-109180,-131245,22065,219420,241485,225367,10001-6114,199101,2014
AMERICAN FESTIVAL OF MICROTONAL MUSIC INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-749,0,-442,9814,9372,7354,10021-0088,199002,2014
AMERICAN MODERN ENSEMBLE,White,music: classical,N,N,n/a,N,NA,NA,4,25000,-7789,37895,-50188,223839,173651,118962,10036-6316,200708,2014
AMERICAN SYMPHONY ORCHESTRA INC,White,music: classical,N,N,n/a,N,NA,NA,5,48100,-1023700,-497844,-484445,5115042,4630597,2188578,10018-4483,196412,2014
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,2,76000,-46757,-62689,15932,678146,694078,264933,10014-2840,198803,2014
AMOR ARTIS INC,White,music: classical,N,N,n/a,N,NA,NA,1,21000,-2870,-4363,3981,115944,119925,95729,10024-0097,196311,2014
AMORALISTS INC,White,theater,N,N,n/a,Y,NA,closed?,NA,NA,-14635,NA,-14635,62372,47737,0,10029-1414,201503,2014
ANDREW JANNETTI & DANCERS,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-4089,-9468,5379,38502,43881,1544,10012-3568,198602,2014
ARCHIVE OF CONTEMPORARY MUSIC,White,music: other,N,N,n/a,N,NA,NA,4,11750,-50423,-43690,6167,279049,285216,242426,10013-3508,198611,2014
ARCOS ORCHESTRA LTD,Multiracial,music: classical,Y,Y,n/a,NA,NA,NA,NA,NA,-11742,-11742,0,0,0,0,10032-5806,200811,2014
ARDEA ARTS INC,White,opera,N,N,n/a,N,NA,NA,1,5000,-36068,-12844,-23224,125201,101977,85631,10013-2654,200612,2014
ARGENTINE TANGO SOCIETY ELMALEH FISH JOSEPH,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-221278,-26948,-194330,222649,28319,28308,10065-7289,201407,2014
ART COUNCIL INC ARTADIA FUND FOR ART AND DIALOGUE,White,visual arts,N,N,n/a,N,NA,NA,6,81500,-9411,-141450,132039,510848,642887,599651,11201-1023,199809,2014
ART HOUSE ASTORIA CONSERVATORY FOR MUSIC AND ART INCORPORATED,White,multidisciplinary,N,N,Youth,N,NA,NA,NA,NA,-720,4764,-5937,121630,115693,2034,11106-4096,201009,2014
ART START INCORPORATED,Multiracial,multidisciplinary,Y,Y,Youth,NA,NA,NA,7,107250,-60184,-31632,-28552,448639,420087,420087,10009-6989,199904,2014
ART SWEATS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-78365,-35274,-26591,396992,370401,39957,10003-8384,199506,2014
ARTS HOUSE SCHOOLS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-8481,-9465,-481,111427,110946,10185,11224-2810,200806,2014
ASIAN CINE VISION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-131281,-118160,-13121,104328,91207,52165,11201-1122,198704,2014
ASTORIA MUSIC SOCIETY INC,White,music: classical,N,N,n/a,MD,NA,closed?,NA,NA,-809,-809,0,52954,52954,25680,11105-3406,200408,2014
AUBIN PICTURES INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,NA,-118461,-35198,-83263,310535,227272,200696,10013-3135,199704,2014
BAR HARBOR FESTIVAL CORPORATION,White,music: classical,N,N,n/a,N,NA,NA,7,25300,-111662,-87147,-24515,244130,219615,149875,10025-6222,196712,2014
BEL CANTO SOCIETY INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-13037,442,-13479,30120,16641,500,10023-0000,198704,2014
BIG APPLE CIRCUS LTD,White,other,N,N,n/a,N,NA,NA,66,1166393,-1309030,335376,-1673690,20640177,18966487,4881815,11201-3873,200003,2014
BIG ART GROUP INC,White,multidisciplinary,N,N,n/a,N,NA,closed? 2017,NA,NA,-7510,4667,-12177,56664,44487,3164,11215-3351,200207,2014
BILLIE HOLIDAY THEATRE INCORPORATED,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-507873,-354034,-146540,432890,286350,143593,11216-5372,201210,2014
BLACK GIRLS ROCK INC,Black,music: other,Y,Y,Youth,NA,NA,NA,NA,NA,-213105,NA,-22473,176034,153561,120095,11238-1916,201502,2014
BOFFO INC,Multiracial,multidisciplinary,Y,Y,n/a,NA,NA,NA,1,105000,-209225,-231404,22179,163367,185546,173132,10012-4516,201104,2014
BRAVE NEW WORLD REPERTORY THEATRE,White,theater,N,N,n/a,N,NA,NA,NA,NA,-2303,7419,-2757,34542,31785,28819,11218-4350,200705,2014
BROOKLYN ART INCUBATOR INC,Black,multidisciplinary,Y,Y,Youth,NA,NA,NA,NA,NA,-23912,-416,-5068,109011,103943,103943,11202-0648,200309,2014
BROOKLYN ARTS EXCHANGE INC,White,multidisciplinary,Y,N,Youth,Y,NA,NA,17,322900,-27436,76587,-105657,1288954,1183297,461859,11215-3315,199109,2014
BROOKLYN CHILDRENS MUSEUM CORP,White,multidisciplinary,Y,N,Youth,Y,NA,NA,16,258816,-545333,1322444,-1467803,6597912,5130109,3748384,11213-1930,198110,2014
CAPOEIRA FOUNDATION INC,Black/Latino,dance: other,Y,Y,n/a,NA,NA,NA,2,6000,-43381,0,-95272,289522,194250,65670,10018-9090,198305,2014
CAROL TAMBOR THEATRICAL FOUNDATION INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-11559,1858,-13417,62674,49257,117712,10028-0140,200410,2014
CHAMBER ORCHESTRA OF NEW YORK - OTTORINO RESPIGHI,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-3091,-3860,769,53449,54218,27706,10021-1411,200607,2014
CHILDRENS THEATRE COMPANY,Multiracial,theater,Y,Y,Youth,NA,NA,NA,1,7500,-10273,-10184,-89,194515,194426,83165,10001-5541,200111,2014
CHINESE AMERICAN ARTS COUNCIL INCORPORATED,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-241025,-174732,-66293,132482,66189,50132,10013-5800,198209,2014
CHINESE CULTURAL FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,Y,Y,n/a,NA,NA,NA,NA,NA,-85739,-73222,-12517,24020,11503,11500,10019-4919,200311,2014
CHORAL CHAMELEON INC CHORAL CHAMELEON,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-2506,9896,-5818,94603,88785,46918,11231-4203,200910,2014
CHURCH STREET SCHOOL FOR MUSIC AND ART,White,multidisciplinary,Y,N,Youth,Y,NA,NA,10,73500,-961070,-914567,-96099,2297523,2201424,412540,10007-1194,199402,2014
CLARION MUSIC SOCIETY INC,White,music: classical,N,N,n/a,N,NA,NA,2,30000,-32880,1073,-33953,244614,210661,149977,10021-0032,196105,2014
CLASSICAL SAXOPHONE PROJECT INC,White,music: classical,N,N,n/a,N,NA,NA,4,5100,-11240,NA,-8472,62171,53699,18648,10019-5515,201406,2014
CLASSICAL THEATRE OF HARLEM INC CLASSICAL THEATRE OF HARLEM,Black,theater,N,Y,n/a,NA,NA,NA,5,342500,-100504,-64495,-36009,536463,500454,494381,10032-6918,200105,2014
COLLABORATIVE URBAN SCULPTURE,White,visual arts,N,N,n/a,Y,NA,NA,NA,NA,-12286,-12905,619,1431,2050,2050,11205-1202,199002,2014
CONSTITUENT ARTS LIMITED,White,theater,N,N,n/a,MD,NA,closed?,NA,NA,-5879,-5204,-675,25391,24716,19599,10016-6700,197908,2014
COUNCIL OF LITERARY MAGAZINES AND PRESSES,White,literary arts,N,N,n/a,N,NA,NA,3,47700,-61866,199225,-28403,520998,492595,385991,10014-2840,196709,2014
CULTURAL COLLABORATIVE JAMAICA INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-107665,-47354,-28556,90477,61921,61921,11431-1155,201406,2014
CULTURE PROJECT INC,White,theater,Y,N,n/a,Y,NA,NA,3,35200,-1038661,-586517,-380019,1455285,1075266,454168,10012-2473,199801,2014
CULTURENOW INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-6633,-12661,6028,66815,72843,66670,10001-5584,200210,2014
DANCE GIANT STEPS INC,White,dance: other,Y,N,n/a,Y,NA,NA,NA,NA,-24531,-23464,-1067,34412,33345,28628,11201-3548,198209,2014
DANCE PROJECT SEQUENCE INC,White,dance: other,N,N,n/a,MD,NA,closed?,1,1000,-280031,-277641,-2390,62175,59785,15272,11101-1631,199708,2014
DANCE RING,White,dance: ballet,N,N,Youth,N,NA,NA,NA,NA,-183457,-153120,-30337,881725,851388,318733,10003-7504,197902,2014
DANCE4LIFE USA INC,White,dance: other,Y,N,n/a,N,NA,NA,NA,NA,-121264,-119755,-1509,1509,0,0,10003-2168,201206,2014
DANCING CRANE INC,White,folk arts/heritage,N,N,n/a,N,Cultural Heritage,NA,NA,NA,-48570,-53458,4888,129724,134612,44980,11204-3905,200012,2014
DANIEL FERRO VOCAL PROGRAM INC,White,music: other,N,N,n/a,N,NA,NA,1,5000,-81077,-80942,-135,83422,83287,57925,10022-8511,199407,2014
DORIAN ARTISTS CORP,White,music: other,N,N,n/a,N,NA,NA,1,180,-2115,117,-2232,13506,11274,2781,11226-3842,200707,2014
DOWNTOWN ARTS DEVELOPMENT INC,White,multidisciplinary,N,N,n/a,MD,NA,closed?,NA,NA,-25258,-25258,0,0,0,0,10013-1106,200410,2014
DRUM MAJOR INSTITUTE INC,Black,music: other,Y,Y,n/a,NA,NA,NA,NA,NA,-172557,NA,22914,23054,45968,45968,10017-2200,199912,2014
ELDERS SHARE THE ARTS INC,White,multidisciplinary,N,N,Elderly,N,NA,closed 2019,1,4000,-12604,-14015,1411,197600,199011,140708,11217-1695,198312,2014
EMERGING ARTISTS THEATRE CO INC,White,theater,N,N,n/a,N,NA,NA,1,1500,-27843,0,24704,92503,117207,59664,10001-6439,199405,2014
ENSEMBLE FOR THE ROMANTIC CENTURY INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-17316,319,-17635,213671,196036,133122,10028-0344,200206,2014
EPIC THEATRE CENTER INC,White,theater,N,N,n/a,Y,NA,NA,8,411500,-212635,-294360,81725,937684,1019409,798930,10018-0568,200105,2014
EPIPHANY MAGAZINE INC,White,literary arts,N,N,n/a,N,NA,NA,NA,NA,-1490,19187,-20677,47505,26828,49465,10014-4011,200707,2014
EQUILATERAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,closed?,NA,NA,-5230,0,683,32659,33342,1551,10018-5635,201405,2014
ETC WORKSHOP INC,MD,film/electronic/media,MD,MD,MD,MD,NA,closed?,NA,NA,-412139,-392618,-412249,412249,0,0,10159-1883,197509,2014
FANFARE THEATRE ENSEMBLE INC,White,theater,N,N,n/a,MD,NA,NA,NA,NA,-60806,-55337,-5469,38606,33137,19792,10003-9001,197504,2014
FAUX REAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-10645,-9651,-994,18677,17683,17682,11205-1125,199707,2014
FORESIGHT FILMS INC,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,NA,-920073,-769491,-150582,151951,1369,0,11217-2213,198307,2014
FOUNDATION 20 21,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,NA,-1925647,-566500,-1359147,1377406,18259,18000,11217-2308,199304,2014
FOUNDATION OF THE NATIONAL ACADEMY OF TELEVISION ARTS AND SCIENCES,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,NA,-8653,10729,-19382,26982,7600,7600,10019-5911,200206,2014
FRANK SILVERA WRITERS WORKSHOP FOUNDATION INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-36589,-21022,-15567,57742,42175,16175,10027-1791,197601,2014
FREESTYLE REPERTORY THEATRE,White,theater,N,N,n/a,N,NA,NA,NA,NA,-4475,1529,9136,82234,91370,7253,10024-4010,199612,2014
FRENCH CONSERVATORY OF MUSIC INC,White,music: classical,N,N,n/a,MD,NA,NA,NA,NA,-11294,0,-4268,19662,15394,14994,10019-5515,199501,2014
FRIGID NEW YORK INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-1772,1950,-3722,55546,51824,24756,10003-8904,201004,2014
FROG AND PEACH THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-11267,NA,3152,39097,42249,42249,10034-4834,201208,2014
GABRIELLE LANSNER AND COMPANY INCORPORATED,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-101849,NA,-95432,112748,17316,16727,10968-1019,200208,2014
GATHERING OF THE TRIBES,Multiracial,literary arts,Y,Y,n/a,NA,NA,NA,NA,NA,-231666,NA,-326,53882,53556,51331,10009-8973,201506,2014
GELSEY KIRKLAND ACADEMY OF CLASSICAL BALLET,White,dance: ballet,N,N,n/a,N,NA,NA,NA,NA,-275644,-140909,-134735,2222192,2087457,17014,11201-1105,201012,2014
GEOPARADISE INC,White,multidisciplinary,Y,N,n/a,N,NA,NA,NA,NA,-28125,40123,-68248,247289,179041,119870,10003-7800,201409,2014
GOOD PENNYWORTHS INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-164,-337,173,3519,3692,451,10025-5575,198709,2014
GOTHAM STAGE COMPANY INC,White,theater,N,N,n/a,N,NA,closed?,NA,NA,-723,-18952,18229,5489,23718,5719,10025-7493,200508,2014
GRAN PARADA DOMINICANA DE EL BRONX,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-16304,-13813,-2491,213410,210919,210919,10451-2353,200402,2014
