NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
J-COLLABO ORG CORP,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,-15736,NA,3987,13055,17042,11692,11215-3486,201206,NA,2018
JAKE TV INC,White,film/electronic/media,N,N,Religion: Jewish,N,NA,NA,NA,-18234,-34700,16466,24199,40665,40665,11219-2640,201505,NA,2018
KINDRED SPIRITS FOUNDATION INC,White,multidisciplinary,N,N,Youth,ND,NA,NA,NA,-78810,-85181,6371,43208,49579,39510,10023-5448,199504,NA,2018
KOREAN AMERICAN HERITAGE FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-134181,-134171,-10,139660,139650,14650,NA,201112,Cultural Heritage,2018
KOREAN ART FORUM INC,Asian/Pacific Islander,visual arts,Y,Y,n/a,NA,NA,NA,NA,-496,NA,-1944,75042,73098,64506,10034-2636,201502,NA,2018
KWELI JOURNAL INC,Multiracial,literary arts,Y,Y,n/a,NA,NA,NA,NA,-5811,-17986,12124,90442,102566,29581,10021-0028,201009,NA,2018
KYO SHIN AN ARTS INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,NA,3,8150,-31592,NA,-7679,68253,60574,30850,11215-2340,200902,Cultural Heritage,2018
LABYRINTH INC,White,theater,N,N,n/a,N,NA,1,2500,-104325,92181,-101169,280806,179637,173467,10014-3755,200204,NA,2018
LATIN AMERICAN WORKSHOP INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-39242,-34732,-4510,418030,413520,112521,10001-5594,199007,NA,2018
LEAGUE OF COMPOSERS INTL SOC FOR CONTEMPORARY MUSIC U S SECTION INC,White,music: other,N,N,n/a,N,NA,1,3000,-20598,-26396,5798,76359,82157,62650,10003-6757,196003,NA,2018
LES BALLETS GRANDIVA LTD,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-49296,-48756,-540,540,0,0,10017-0000,200204,NA,2018
LIFE JACKET THEATRE COMPANY,White,theater,N,N,n/a,N,NA,NA,NA,-2797,4033,-6830,120208,113378,88025,10014-5119,201503,NA,2018
LIFE THROUGH DANCE INC,White,dance: other,N,N,n/a,N,NA,1,1500,-25891,-40804,17511,22434,39945,38451,10025-3404,199310,NA,2018
LIGHT INDUSTRY CINEMA PROJECTS LTD,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-28840,-8052,-28840,227349,198509,104279,11222-5471,200902,NA,2018
LIVING TRADITIONS INC,White,folk arts/heritage,N,N,n/a,N,NA,2,16000,-15279,NA,-29706,90858,61152,60000,11231-1338,199408,NA,2018
LOFTOPERA INC LOFTOPERA,White,opera,N,N,n/a,N,NA,NA,NA,-2942,39679,-46144,765622,719478,437123,NA,201510,NA,2018
LOLA LOUIS CREATIVE & PERFORMING ARTS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-13923,NA,6500,26812,33312,1275,10466-3155,200707,NA,2018
