NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
TADA THEATRE AND DANCE ALLIANCE INC,White,theater,N,N,Youth,Y,NA,8,197025,-265609,-325625,60016,1925562,1985578,1051101,10001-6439,198512,NA,2018
TEATRO MODERNO PUERTORRIQUENO INC,Hispanic/Latino,theater,N,Y,n/a,NA,closed?,NA,NA,-2820,1,-2424,78247,75823,75823,10029-2851,199804,NA,2018
THE APOGEE FOUNDATION,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-401228,-400257,-971,2971,2000,2000,10018-5462,200602,NA,2018
THE BROADWAY DANCE LAB INC,White,dance: other,N,N,n/a,N,NA,5,172250,-2821,35718,-38539,355373,316834,282275,10001-1512,201407,NA,2018
THE CHILDRENS CREATIVE WRITING CAMPAIGN INC,White,literary arts,N,N,Youth,N,NA,NA,NA,-290921,-257263,-33658,40508,6850,6850,10038-3101,199804,NA,2018
THE INTERNATIONAL COALITION OF HISTORIC ITE MUSEUMS OF CONSCIENCE,White,historic preservation,Y,N,n/a,N,NA,NA,NA,-114859,644524,-475001,4181325,3706324,3483877,10005-2035,200606,NA,2018
THE LITTLE OPERA THEATRE OF NY INC,White,opera,N,N,n/a,N,NA,5,23000,-110210,-103729,-6481,188117,181636,161935,10019-0000,201303,NA,2018
THE LITTLE ORCHESTRA SOCIETY- ORPHEON INC,White,music: classical,N,N,n/a,Y,NA,14,219100,-14093,-43035,28942,1258241,1287183,912104,10036-3746,197112,NA,2018
THE PATRIOT BRASS ENSEMBLE INC,White,music: other,N,N,n/a,N,NA,NA,NA,-40026,NA,-3635,466092,462457,10166,10014-3817,201101,NA,2018
THIS MUSICS FOR YOU INC,White,music: classical,N,N,n/a,N,closed?,NA,NA,-263,422,-685,685,0,0,10036-6304,199003,NA,2018
TRIBECA NEW MUSIC INC,White,music: other,N,N,n/a,N,NA,NA,NA,-398,-1256,858,82834,83692,60240,10031-7335,199704,NA,2018
TURKISH CULTURAL ALLIANCE INC,Middle Eastern,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-1323,NA,-1323,42623,41300,0,10303-2125,201811,Cultural Heritage,2018
UNIQUE PROJECT INC,White,dance: other,N,N,n/a,N,NA,6,223500,-4312,-2350,-1962,350231,348269,340238,10004-2415,198206,NA,2018
VALENTINA KOZLOVA DANCE FOUNDATION INC,White,dance: ballet,N,N,Youth,N,NA,1,10000,-41093,-23096,-17997,117160,99163,51232,10128-5177,200403,NA,2018
VITAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,2,12700,-403164,-357104,-46060,766492,720432,84199,10023-8423,200011,NA,2018
VOLCANO LOVE INC,White,dance: other,N,N,n/a,MD,NA,NA,NA,-718,-3964,3246,69396,72642,63376,11217-2407,200004,NA,2018
WEST INDIAN AMERICAN DAY CARNIVAL ASSN,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-439710,-438507,-7486,1130320,1122834,694582,11225-2907,197211,NA,2018
WEST VILLAGE CHORALE INC,White,music: other,N,N,n/a,N,NA,NA,NA,-1109,9095,-1109,60922,59813,19027,10012-1017,197502,NA,2018
WHEELHOUSE THEATER COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-262380,NA,-262380,457473,195093,65668,10282-0016,201905,NA,2018
WHITE BIRD PRODUCTIONS INC,White,theater,N,N,Youth,N,NA,NA,NA,-25464,-20804,-4660,378833,374173,14575,11217-1694,199207,NA,2018
WHITE BOX LTD,Multiracial,visual arts,Y,Y,n/a,NA,NA,1,2500,-47587,11413,-59000,354292,295292,150966,10035-3018,200110,NA,2018
WILLIAMSBURG ART AND HISTORICAL CENTER INC,White,visual arts,N,N,n/a,N,NA,1,10000,-37981,-4943,-33038,73801,40763,26345,11211-6129,199611,NA,2018
WOMANITY PROJECT INC,White,social justice/social practice,Y,N,Women,N,NA,NA,NA,-6796,NA,-6796,8392,1596,1596,11216-1604,201804,NA,2018
WOVEN SPACES INC,White,multidisciplinary,N,N,n/a,Y,NA,NA,NA,-139,NA,862,32838,33700,24200,11222-5971,199702,NA,2018
ZGD INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-8416,NA,-9081,303189,294108,143855,10004-3237,199410,NA,2018
ZIEGFELD SOCIETY INC,White,theater,N,N,n/a,N,NA,NA,NA,-1553,-3302,1749,11005,12754,2339,10022-2374,201407,NA,2018
