NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
NEW PERSPECTIVES THEATRE COMPANY INC,Multiracial,theater,Y,Y,n/a,NA,NA,NA,NA,NA,-10755,-7724,-2715,114729,112014,29403,10018-4008,199305,2011
NEW PROFESSIONAL THEATRE INC,Multiracial,theater,N,Y,n/a,NA,NA,NA,1,10000,-19477,-5383,-14104,104714,90610,90610,10036-7205,198712,2011
NEW STAGE THEATRE COMPANY INC,White,theater,N,N,Immigrant,N,NA,NA,NA,NA,-4890,-1551,-3339,33410,30071,27201,10005-4315,200301,2011
NEW YORK ARTISTS EQUITY ASSOCIATION INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-93782,8113,-100331,165468,65137,20445,10003-0000,199201,2011
NEW YORK BAROQUE DANCE CO INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-133336,-133010,-326,73917,73591,26040,10009-7302,197902,2011
NEW YORK CHINESE CULTURAL CENTER INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-105185,-116286,6808,705081,711889,233504,10013-3512,197812,2011
NEW YORK CITY MASTER CHORALE INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-15907,-13713,-2194,100606,98412,71468,10011-8436,200603,2011
NEW YORK CLASSICAL THEATRE INC,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-32359,41026,-73385,297645,224260,222355,10026-2864,200304,2011
NEW YORK HANG TANG CULTURE AND ARTCENTER INC,Asian/Pacific Islander,opera,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-5382,NA,-1432,17880,16448,16448,10025-5717,200612,2011
NEW YORK PHILOMUSICA CHAMBER ENSEMBLE,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-130495,-132481,1986,26960,28946,24500,10023-2903,197308,2011
NEW YORK REVELS INC,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-107284,-117141,9857,6492,16349,16304,11217-3764,199108,2011
NEW YORK SCANDIA SYMPHONY INC,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-61556,-61524,-31,76890,76859,76859,10150-0583,199012,2011
NICUS SPOON INC,White,theater,Y,N,n/a,Y,NA,NA,NA,NA,-3208,-3228,20,50276,50296,50296,10163-2058,200106,2011
NOCHE FLAMENCA INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,1,10000,-167248,-81479,-85769,634347,548578,102746,10024-4024,199709,2011
NORTH AMERICA PASTEL ARTISTS ASSOCIATION INC,White,visual arts,N,N,n/a,ND,NA,NA,NA,NA,-796,NA,-1755,4325,2570,0,11355-5840,200703,2011
NOTES IN MOTION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-51154,-39951,-11203,96968,85765,64389,10012-1553,200205,2011
ON THE ROAD PRODUCTIONS INTERNATIONAL INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,NA,-15014,-19556,4542,8173,12715,28455,10013-2708,200808,2011
ONE YEAR LEASE INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-903,-15962,-31259,153286,122027,69160,11217-1695,200203,2011
OPUS 118 HARLEM SCHOOL OF MUSIC,White,music: classical,Y,N,Youth,N,NA,NA,2,8500,-7003,189113,-196310,597165,400855,198971,10035-0000,199206,2011
