NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# Foundation Grants,$Amt Foundation Grants,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
NEW PERSPECTIVES THEATRE COMPANY INC,Multiracial,theater,Y,Y,n/a,NA,NA,NA,NA,-6166,-15883,6217,69808,76025,46893,10018-4008,199305,NA,2019
NEW UTILITY INC,White,dance: other,N,N,n/a,Y,NA,NA,NA,-1023,10804,-11638,94793,83155,48472,10001-7604,201905,NA,2019
NEW YORK AFRICAN CHORUS ENSEMBLE INC,Black,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-5329,23796,-29125,116675,87550,75170,10031-1716,200607,NA,2019
NEW YORK BAROQUE DANCE CO INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-56221,-53500,-2721,42850,40129,9490,10009-7360,197902,NA,2019
NEW YORK CLASSICAL THEATRE INC,White,theater,N,N,n/a,Y,NA,7,37000,-40414,56168,-96582,470883,374301,366947,10038-1854,200304,NA,2019
NEW YORK CONCERT ARTISTS & ASSOCIATES INC,Diverse,music: classical,N,Y,n/a,NA,NA,NA,NA,-109180,-108802,-378,361209,360831,225000,10023-6336,201409,NA,2019
NEW YORK MUSIC FOUNDATION INC,White,music: classical,N,N,n/a,ND,NA,NA,NA,-10739,-9836,-903,14135,13232,5442,10033-2508,201410,NA,2019
NEW YORK SHAKESPEARE EXCHANGE INC,White,theater,N,N,n/a,Y,NA,2,400,-566,-2572,1495,63247,64742,40413,11238-1709,201201,NA,2019
NON-STOP MEDIA INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-14167,-21345,6395,103899,110294,3772,11374-3655,200910,NA,2019
NORDIC INTERNATIONAL FILM FESTIVAL INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-941,NA,-941,31005,30064,30064,11222-2630,201902,NA,2019
NORTH AMERICA PASTEL ARTISTS ASSOCIATION INC,White,visual arts,N,N,n/a,ND,NA,NA,NA,-3742,-2272,-1470,4500,3030,500,NA,200703,NA,2019
NVAK INC,White,multidisciplinary,Y,N,Women,N,NA,NA,NA,-268,-7858,7590,219997,227587,212587,10003-2684,201811,NA,2019
ON BROADWAY PERFORMING ARTS TRAINING PROGRAM INC,White,theater,N,N,Youth,N,NA,1,10000,-4193,NA,-4338,68554,64216,11902,10025-0000,201706,NA,2019
ONCE UPON A TIME INC,White,theater,N,N,n/a,N,NA,NA,NA,-66531,-50643,-15888,123523,107635,912,11418-0548,201403,NA,2019
ONE YEAR LEASE INC,White,theater,N,N,n/a,N,NA,NA,NA,-20412,-55321,35365,157572,192937,76177,11217-1695,200203,NA,2019
OPEN SOURCE GALLERY INC,White,visual arts,N,N,n/a,N,NA,2,25000,-958,9026,-9828,316692,306864,87562,11215-6974,201106,NA,2019
OPERA ON TAP,White,opera,N,N,n/a,Y,NA,2,15000,-47193,-12398,-38059,265042,226983,132667,11218-2408,200701,NA,2019
ORIGIN THEATRE COMPANY INC,White,theater,N,N,n/a,NA,NA,NA,NA,-33754,27895,-61649,497658,436009,374738,10018-6507,201801,NA,2019
ORIGINAL MUSIC WORKSHOP INC,White,music: other,N,N,n/a,N,NA,18,534980,-249250,-823974,599821,4438987,5038808,3742538,11249-3009,201010,NA,2019
OYSI INC,Indigenous,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-9607,-6634,-2973,2973,0,0,10013-3073,201111,NA,2019
PAKISTAN INDEPENDENCE DAY PARADE & FAIR COMMITTEE INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-309,-3973,3664,96488,100152,0,10306-3367,201408,Cultural Heritage,2019
PARTICIPANT INCORPORATED,White,multidisciplinary,N,N,n/a,N,NA,4,132500,-44294,7769,-62093,369037,306944,292226,10002-1023,200210,NA,2019
PEOPLES PORTFOLIO INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,-12229,92410,-104639,678620,573981,573981,10018-7007,201308,NA,2019
PERIAPSIS MUSIC AND DANCE INC,White,multidisciplinary,N,N,n/a,N,NA,2,1550,-30391,-14331,-16005,59677,43672,37746,11238-4253,201308,NA,2019
PHOENIX THEATRE ENSEMBLE INC,White,theater,N,N,n/a,N,NA,1,2460,-2161,-31205,29044,84757,113801,88115,10003-7702,200412,NA,2019
PHOTO-BASED ART INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-5926,-3470,-2453,12878,10425,0,11238-0000,200503,NA,2019
PIPELINE THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,1,34750,-2477,-10570,8093,338458,346551,266391,10023-3317,201202,NA,2019
POLARIS PRODUCTIONS,White,theater,N,N,Youth,N,NA,NA,NA,-10662,1326,-6477,74385,67908,29267,10011-5804,201209,NA,2019
POLSKI INSTYTUT TEATRALNY W AMERYCE POLISH THEATER INSTITUTE IN THE US,White,theater,N,N,n/a,ND,NA,NA,NA,-965,NA,-2052,29059,27007,7657,10040-3844,198712,NA,2019
PRIMARY STAGES COMPANY INC,White,theater,N,N,n/a,NA,NA,18,380875,-465721,-271279,-194442,3562498,3368056,1945024,10018-6507,198512,NA,2019
PROJECT Y THEATRE INC,White,theater,N,N,"Women, LGBTQ",N,NA,NA,NA,-6283,-13951,7671,80768,88439,62813,10036-6972,201004,NA,2019
PROVIDENCE PRODUCTIONS INTERNATIONAL INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-4242,NA,-4242,61524,57282,0,11201-3470,198403,NA,2019
PULSE ENSEMBLE THEATRE INC,White,theater,Y,N,Women,N,NA,1,5000,-22280,-26412,4132,7210,11342,10000,10108-2281,199207,NA,2019
PUPPET WORKS INC,White,theater,N,N,Youth,N,NA,1,5000,-51988,-58729,6741,189237,195978,16601,11215-0562,198110,NA,2019
PUPPETRY ARTS THEATRE INC,White,theater,N,N,Youth,N,NA,1,15000,-45386,NA,18000,61263,79263,61750,11209-2259,200301,NA,2019
RADIO FOUNDATION INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-17487,-34500,17013,161384,178397,100019,10024-2014,197708,NA,2019
REBEL PLAYHOUSE INC,White,theater,N,N,Youth,N,NA,NA,NA,-7246,-9908,1962,29010,30972,17393,11225-5520,201610,NA,2019
REEL STORIES TEEN FILMMAKING INC,White,film/electronic/media,Y,N,Youth,N,NA,2,160000,-71622,-26277,-45345,1714168,1668823,1386163,11215-1490,200501,NA,2019
RELATIONSHIP PERFORMANCE AND ARTSGROUP INC,White,theater,N,N,Women,N,NA,NA,NA,-24762,NA,16755,62349,79104,77788,10009-5822,200702,NA,2019
RICHARD TUCKER MUSIC FOUNDATION INC,White,opera,N,N,n/a,N,NA,12,58850,-65782,NA,1406,913534,914940,907940,10019-1412,201505,NA,2019
RIO GRANDE UNION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-31698,-31142,-556,190057,189501,162353,10012-3944,197309,NA,2019
RIPE TIME INC,White,theater,N,N,n/a,N,NA,NA,NA,-16858,-30846,13988,22072,36060,35240,11238-6093,200212,NA,2019
ROME ART PROGRAM INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-1631,12134,-13765,73975,60210,545,10013-5306,201106,NA,2019
ROOFTOP FILMS INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-183038,2294,-38194,1766087,1727893,832958,11215-2700,200906,NA,2019
ROSTOV MEDIA FOUNDATION,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,-50918,NA,-6323,201528,195205,150650,10009-7865,201509,NA,2019
ROYAL FAMILY PRODUCTIONS INC,White,theater,N,N,n/a,N,NA,NA,NA,-9106,4176,-13391,168701,155310,119713,10036-8502,200806,NA,2019
SAVING GRACE NYC,White,historic preservation,N,N,n/a,N,NA,NA,NA,-169996,-143584,-26412,34567,8155,8155,10003-4804,200807,NA,2019
SCANDINAVIAN AMERICAN THEATER COMPANY INC,White,theater,N,N,n/a,N,NA,1,6000,-5704,-16994,11290,36535,47825,47825,10018-8647,201505,NA,2019
SHAKESPEARE IN THE SQUARE,White,theater,N,N,n/a,N,NA,NA,NA,-1346,NA,-3885,15417,11532,5032,10003-6514,201706,NA,2019
SIKH ART & FILM FOUNDATION INC,Asian/Pacific Islander,multidisciplinary,N,Y,Religion: Sikh,NA,NA,NA,NA,-4057,-28332,24275,34186,58461,56019,10018-6803,200609,Cultural Heritage,2019
SILVANA MAGDAS VIVA BRAZIL DANCE CO INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,-19593,-19827,234,1639,1873,6571,10185-0129,199306,Cultural Heritage,2019
SLICE LITERARY INC,White,literary arts,N,N,n/a,N,closed 2022,NA,NA,-4635,14812,-19447,55770,36323,32447,10014-0659,200903,NA,2019
SMH SUPPORT CORP,Black,visual arts,N,Y,n/a,NA,NA,NA,NA,-8913,NA,-8913,9100,187,0,10027-4423,201906,NA,2019
SOCIETY FOR THE STUDY OF MYTH AND TRADITION INC,White,folk arts/heritage,N,N,n/a,MD,NA,1,3000,-156891,-113516,-43375,433423,390048,38015,10011-0000,197603,NA,2019
SOCIETY OF VOICE ARTS AND SCIENCES INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-232186,-241070,8884,464621,473505,54300,10019-5910,201406,NA,2019
SOKOLOW THEATRE DANCE ENSEMBLE LTD,White,dance: other,N,N,n/a,N,NA,NA,NA,-5354,-6008,654,60243,60897,0,10113-0351,200403,NA,2019
SPELLBOUND THEATRE INC,White,theater,N,N,Youth,Y,NA,NA,NA,-50139,-25618,-24521,113239,88718,38779,11201-3022,201504,NA,2019
STAGEPLAYS THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-489909,-452792,-37117,92124,55007,49002,10017-0000,199405,NA,2019
STARS WITHIN REACH PRODUCTIONS INC,White,theater,N,N,Youth,N,NA,NA,NA,-8012,-6770,-1242,119242,118000,200,10003-1502,201603,NA,2019
STATEN ISLAND BALLET THEATER INC,White,dance: ballet,N,N,n/a,N,NA,1,300,-175054,-13533,51836,368431,420267,131020,10306-1941,199409,NA,2019
STELLA ADLER STUDIO OF ACTING,White,theater,N,N,n/a,Y,NA,6,182540,-250108,-53825,-203933,8490163,8286230,690639,10006-2552,200008,NA,2019
STRANGEMEN THEATRE COMPANY INC,White,theater,N,N,n/a,MD,NA,NA,NA,-28880,-43949,15069,6518,21587,500,10003-1526,201812,NA,2019
STUDIO REV,Multiracial,social justice/social practice,Y,Y,n/a,NA,NA,NA,NA,-15251,-4302,-10949,45665,34716,12800,10024-6022,200105,NA,2019
TADA THEATRE AND DANCE ALLIANCE INC,White,theater,N,N,Youth,Y,NA,8,254039,-120591,-265609,145018,1863656,2008674,1044580,10001-6439,198512,NA,2019
TEATRO MODERNO PUERTORRIQUENO INC,Hispanic/Latino,theater,N,Y,n/a,NA,closed?,NA,NA,-2820,1,-2424,78247,75823,75823,10029-2851,199804,NA,2019
THE APOGEE FOUNDATION,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-401221,-401228,7,2993,3000,3000,10018-5460,200602,NA,2019
THE CHILDRENS CREATIVE WRITING CAMPAIGN INC,White,literary arts,N,N,Youth,N,NA,NA,NA,-313988,-290921,-23067,41742,18675,18675,10038-3304,199804,NA,2019
THE LITTLE OPERA THEATRE OF NY INC,White,opera,N,N,n/a,N,NA,5,23550,-114837,-110210,-4627,251944,247317,230529,10019-0000,201303,NA,2019
THE PATRIOT BRASS ENSEMBLE INC,White,music: other,N,N,n/a,N,NA,NA,NA,-69340,-40026,-29314,231519,202205,17585,10014-3817,201101,NA,2019
THREE GENERATIONS INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,-10865,63282,-74147,365295,291148,289342,10010-2007,200711,NA,2019
TRIBECA NEW MUSIC INC,White,music: other,N,N,n/a,N,NA,NA,NA,-398,-1256,858,82834,83692,60240,10031-7335,199704,NA,2019
UNIQUE PROJECT INC,White,dance: other,N,N,n/a,N,NA,7,51200,-2950,NA,1050,686993,688043,686157,10004-2415,198206,NA,2019
UNIVERSAL TEMPLE OF THE ARTS INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-27152,18278,-45430,296301,250871,237625,10301-2226,198903,NA,2019
VARIATIONS THEATRE GROUP INC,White,theater,N,N,n/a,N,NA,NA,NA,-7656,22114,-29770,172154,142384,17000,10018-6436,201009,NA,2019
VITAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-403164,-357104,-46060,766492,720432,84199,10023-8423,200011,NA,2019
WEST VILLAGE CHORALE INC,White,music: other,N,N,n/a,N,NA,NA,NA,-1109,9095,-1109,60922,59813,19027,10012-1017,197502,NA,2019
WHEELHOUSE THEATER COMPANY INC,White,theater,N,N,n/a,N,NA,1,25000,-335133,-262380,-72554,880758,808204,527712,10282-0016,201905,NA,2019
WHITE BIRD PRODUCTIONS INC,White,theater,N,N,Youth,N,NA,1,3000,-45151,NA,-10735,469156,458421,14728,11217-1695,199207,NA,2019
WHITE WAVE RISING-YOUNG SOON KIM DANCE COMPANY INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,NA,NA,-11495,8632,-20127,262229,242102,120268,11233-2625,199511,NA,2019
WILLIAMSBURG ART AND HISTORICAL CENTER INC,White,visual arts,N,N,n/a,N,NA,1,13000,-86020,-37981,-48039,61331,13292,2067,11211-6129,199611,NA,2019
WOMANITY PROJECT INC,White,social justice/social practice,Y,N,Women,N,NA,NA,NA,-15500,-6796,-8351,15857,7506,3415,11216-1604,201804,NA,2019
WORLD ACCORDING TO SHORTS INC,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,-25159,-16124,-9035,75420,66385,804,11225-3906,200602,NA,2019
WOVEN SPACES INC,White,multidisciplinary,N,N,n/a,Y,NA,NA,NA,-139,NA,862,32838,33700,24200,11222-5971,199702,NA,2019
YARA ARTS GROUP INC,White,theater,Y,N,n/a,N,NA,NA,NA,-3665,2680,-6345,223830,217485,118885,10003-7462,199010,NA,2019
ZEMI DANCE THEATRE INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,-619,9194,-9813,14403,4590,2900,10128-3835,201610,NA,2019
ZGD INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-269,-8416,8147,335638,343785,136735,10004-3237,199410,NA,2019
ZIEGFELD SOCIETY INC,White,theater,N,N,n/a,N,NA,NA,NA,-8166,-1553,-6613,17675,11062,1900,10022-2374,201407,NA,2019
