NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
14TH FACTORY FOUNDATION,White,visual arts,N,N,n/a,MD,NA,closed?,NA,NA,-2260958,642794,155548,2210840,307192,9000,10003-1502,200808,2016
29TH STREET REPERTORY THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-97,NA,1086,99212,1526,0,11201-3807,201506,2016
ABINGDON THEATRE COMPANY,White,theater,N,N,n/a,Y,NA,NA,10,65510,-146245,6919,-101,903055,18000,471924,10035-2772,201102,2016
ABUNDANCE ACADEMY OF THE ARTS INC,Black,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-8907,32403,-29635,210834,175632,4500,10011-5437,200007,2016
ACMP - ASSOCIATED CHAMBER MUSIC PLAYERS INC,White,music: classical,N,N,n/a,N,NA,NA,1,100,-40815,80460,11,144781,11,102210,10022-1657,200612,2016
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-2383219,0,0,2881070,9470,765650,10022-3764,200804,2016
ALWAN FOUNDATION INC,Middle Eastern,multidisciplinary,Y,Y,n/a,NA,NA,NA,1,2500,-35587,18370,-7400,247017,26774,193843,11105-2573,201503,2016
AMERICAN AGORA FOUNDATION INC,White,literary arts,N,N,n/a,NA,NA,NA,10,279200,-382539,384421,217569,3158995,1679347,930041,10018-8910,199204,2016
AMERICAN DANCE MACHINE FOR THE 21ST CENTURY FOUNDATION INC,White,theater,N,N,n/a,N,NA,NA,3,20000,-78710,41265,-4967,92672,73611,122225,10463-6147,200303,2016
AMERICAN MODERN ENSEMBLE,White,music: classical,N,N,n/a,N,NA,NA,5,30000,-9424,150716,77287,170945,503737,132022,10029-0000,199012,2016
AMERICAN SONGBOOK ASSOCIATION INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-8943,NA,63789,104621,319503,75803,10025-7825,194210,2016
AMERICAN SYMPHONY ORCHESTRA INC,White,music: classical,N,N,n/a,N,NA,NA,3,31000,-974727,NA,78598,3202080,426043,1870691,11201-6336,201606,2016
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,3,100500,-44598,2547584,301091,763653,621201,302295,NA,199704,2016
AMOR ARTIS INC,White,music: classical,N,N,n/a,N,NA,NA,2,15600,-5961,0,0,165423,358,125475,10035-2036,201104,2016
AMORALISTS INC,White,theater,N,N,n/a,Y,NA,closed?,NA,NA,-2033,NA,10749,25941,52903,0,10019-5404,201411,2016
AMORE OPERA INC,White,opera,N,N,n/a,N,NA,NA,2,2000,-6830,8239938,-72765,164508,1579232,67522,10282-1240,198508,2016
ANAKAWONA CULTURAL ASSOCIATION INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,NA,-4040,14050,-7286,0,950,4040,10016-3166,200712,2016
ANDERSON & BERT CADE FULTON FOUNDATION,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-17550,NA,16375,25750,170896,8200,10016-7503,198110,2016
ARCHIVE OF CONTEMPORARY MUSIC,White,music: other,N,N,n/a,N,NA,NA,2,62500,-68085,NA,0,254465,6000,16650,11217-1623,201210,2016
ARCOS ORCHESTRA LTD,Multiracial,music: classical,Y,Y,n/a,NA,NA,NA,NA,NA,-11742,195217,-20002,0,121502,0,11412-3346,199909,2016
ART START INCORPORATED,Multiracial,multidisciplinary,Y,Y,Youth,NA,NA,NA,13,118150,-77037,175,240,475784,3800,455224,11223-1852,201602,2016
ART SWEATS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-46009,32546,-2771,194726,307930,49096,10464-0000,201305,2016
ARTS & BUSINESS COUNCIL OF NEW YORK INC,White,multidisciplinary,Y,N,n/a,Y,NA,merged w amer. Ft arts?,2,10500,-38642,66018,-25517,222921,23498,121595,10113-1293,199009,2016
ARTS HOUSE SCHOOLS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-14037,21155,23816,168279,132869,66250,11101-5043,200807,2016
ARTSTOR INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-2650608,26281,-1661,12024532,197163,2518031,10113-1114,200410,2016
ASIAN CINE-VISION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-158134,622130,352145,217252,427032,172737,11354-5121,201407,2016
ASSOCIATION FOR DEVELOPMENT OF DRAMATIC ARTS INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-249,-11920,-20793,180931,305855,45902,10012-3944,197309,2016
ASTORIA MUSIC SOCIETY INC,White,music: classical,N,N,n/a,MD,NA,closed?,2,2000,-2864,71996,-25135,63534,254580,48209,11217-2813,200903,2016
AUBIN PICTURES INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,2,6000,-49317,NA,0,950968,0,867757,11229-4006,201003,2016
AUTONOMEDIA INC,White,literary arts,Y,N,n/a,N,NA,NA,NA,NA,-2239,4434,1025,74387,19107,0,10013-4727,200809,2016
BALBAL CORPORATION,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-935,311221,-26327,1936,1201148,850,10018-6523,197712,2016
BALLET NEXT INC,White,dance: ballet,N,N,n/a,N,NA,NA,NA,NA,-82863,-69985,-76260,201054,826795,61210,10001-6763,199404,2016
BAR HARBOR FESTIVAL CORPORATION,White,music: classical,N,N,n/a,N,NA,NA,6,16500,-126855,0,0,286817,0,152982,11209-1113,199406,2016
BIG APPLE CIRCUS LTD,White,other,N,N,n/a,N,NA,NA,17,423825,-2107899,-5901,18000,18286102,75952,4234427,11209-2259,200301,2016
BIG TREE PRODUCTIONS INC,White,dance: other,N,N,n/a,N,NA,NA,2,47550,-18540,7054405,-135357,115951,9794136,67691,10036-6216,198306,2016
BILLIE HOLIDAY THEATRE INCORPORATED,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,1,284,-381005,1510505,-471008,272429,1511726,182625,10004-2367,201406,2016
BLACK GIRLS ROCK INC,Black,music: other,Y,Y,Youth,NA,NA,NA,NA,NA,-210814,11276,215702,148849,491493,135000,10010-2706,199012,2016
BOFFO INC,Multiracial,multidisciplinary,Y,Y,n/a,NA,NA,NA,NA,NA,-84235,14928,0,117698,0,96636,10029-3166,200408,2016
BOOKLYN INCORPORATED,White,literary arts,Y,N,n/a,Y,NA,NA,NA,NA,-171497,18807,9690,334087,38460,40737,11238-1140,200902,2016
BORN DANCING INC,White,dance: other,Y,N,Disability,Y,NA,NA,NA,NA,-2888,132289,85022,60869,338103,51851,10122-0901,198706,2016
BREAKING WALLS INC,Multiracial,other,Y,Y,Youth,NA,NA,NA,NA,NA,-4721,NA,20562,47606,101711,40910,10036-2402,201608,2016
BRICK THEATER INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-345,19337,1903,185336,45873,35285,11238-5612,200810,2016
BROOKLYN ART INCUBATOR INC,Black,multidisciplinary,Y,Y,Youth,NA,NA,NA,1,5000,-6921,10608,33869,99232,50430,79124,11101-2614,201504,2016
BROOKLYN BAKU FRIENDSHIP ASSOCIATION INC,White,folk arts/heritage,Y,N,n/a,N,NA,closed?,NA,NA,-710,NA,-148937,710,89954,0,10001-6116,198503,2016
BROOKLYN CHILDRENS MUSEUM CORP,White,multidisciplinary,Y,N,Youth,Y,NA,NA,12,130300,-2895836,71103,39560,5401026,273676,3551991,10029-6928,200001,2016
BROOKLYN POETS INC,Multiracial,literary arts,N,Y,n/a,NA,NA,NA,1,4000,-753,65760,65436,70013,230091,13699,10016-4338,200201,2016
CAPOEIRA FOUNDATION INC,Black/Latino,dance: other,Y,Y,n/a,NA,NA,NA,NA,NA,-48759,9040,3285,122257,12440,37661,10075-1568,200112,2016
CHAMBER ORCHESTRA OF NEW YORK - OTTORINO RESPIGHI,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-5809,-11253,1233,57332,30860,24227,10025-7484,201611,2016
CHINESE AMERICAN ARTS COUNCIL INCORPORATED,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,2,4000,-161421,-5089,11596,159967,83629,163160,11231-1632,200408,2016
