NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
CHINESE CULTURAL FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,Y,Y,n/a,NA,NA,NA,1,15000,-87798,71174,42928,62925,177887,68301,10002-5414,201109,2016
CHURCH STREET SCHOOL FOR MUSIC AND ART,White,multidisciplinary,Y,N,Youth,Y,NA,NA,5,10450,-1200064,0,-420,2157547,42246,424268,11203-1312,199409,2016
CITYWIDE YOUTH OPERA INC,White,opera,N,N,Youth,N,NA,NA,1,1000,-9172,24683,-2488,44890,30968,21987,11231-0195,200408,2016
COLLABORATIVE URBAN SCULPTURE CONJUNCTION ARTS,White,visual arts,N,N,n/a,Y,NA,NA,NA,NA,-32802,26128,-9620,46179,24350,47745,10027-0000,198609,2016
COLUMBIA UNIVERSITY PRESS,White,literary arts,N,N,n/a,N,NA,NA,NA,NA,-7401802,-1050,-5672,10568752,27240,1167795,11101-3553,200210,2016
CONSTITUENT ARTS LIMITED,White,theater,N,N,n/a,MD,NA,closed?,NA,NA,-3467,NA,50,105837,50,92133,10468-4854,201410,2016
CREATE 4 INC,White,social justice/social practice,Y,N,n/a,MD,NA,NA,NA,NA,-1274,NA,3621,337,88242,0,11238-3133,201506,2016
CSC REPERTORY LTD,White,theater,N,N,n/a,Y,NA,NA,17,420054,-221478,26606,3012,3320219,41491,1561618,10011-1404,198104,2016
CULTURAL COLLABORATIVE JAMAICA INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-107665,115571,-8871,90477,173576,61921,11102-0000,201511,2016
CULTURE PROJECT INC,White,theater,Y,N,n/a,Y,NA,NA,4,43000,-1222529,29973,-10190,1524460,299955,425571,10003-1507,198008,2016
CULTURENOW INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-6722,NA,37308,32912,180346,27240,10009-5207,199204,2016
DACAPO CHAMBER PLAYERS INC,White,music: classical,N,N,n/a,N,NA,NA,3,16000,-14509,51450,-40009,93764,-39329,57838,10032-7459,201510,2016
DAEDALUS PRODUCTIONS INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,NA,-16692,32258,-8431,38911,213410,46292,11201-1150,197308,2016
DANCE GIANT STEPS INC,White,dance: other,Y,N,n/a,Y,NA,NA,NA,NA,-29250,9470,-332,32955,17756,26862,10013-0000,200806,2016
DANCE PROJECT SEQUENCE INC,White,dance: other,N,N,n/a,MD,NA,closed?,NA,NA,-282005,3852,-3048,19627,2962,91,10075-9209,201108,2016
DANCE RING,White,dance: ballet,N,N,Youth,N,NA,NA,NA,NA,-286342,8024584,-153593,749382,56875,413554,10010-8046,199311,2016
DANCE SPOTLIGHT INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-51,1188216,23225,11694,78358,0,10458-5149,194603,2016
DANCE4LIFE USA INC,White,dance: other,Y,N,n/a,N,NA,NA,NA,NA,-121264,80256,-5465,1509,28436,0,10024-0000,196901,2016
DANCING CRANE INC,White,folk arts/heritage,N,N,n/a,N,Cultural Heritage,NA,NA,NA,-44839,28021,-3768,130438,21300,35654,10003-3137,200907,2016
DANIEL FERRO VOCAL PROGRAM INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-87198,NA,-32555,125111,241434,72691,10022-1846,199411,2016
DEEP ARTS INC,White,theater,Y,N,n/a,N,NA,NA,NA,NA,-1112,NA,-8633,87394,0,92382,10119-0000,197706,2016
DG MULTIMEDIA INC,White,multidisciplinary,N,N,n/a,MD,NA,NA,NA,NA,-6136,253508,-96012,353425,40000,243,10011-8201,201508,2016
DOWNTOWN MUSIC PRODUCTIONS INC,White,music: other,N,N,n/a,MD,NA,closed?,3,2800,-11043,5989,2365,46825,46683,33227,11354-0000,200908,2016
DRILLING COMPANY THEATRICAL PRODUCTIONS INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-4340,1866791,104086,46148,1252474,16983,10115-0031,198810,2016
EMERGING ARTISTS THEATRE CO INC,White,theater,N,N,n/a,N,NA,NA,2,21500,-20967,-407182,27762,99702,135981,72067,10022-6445,200005,2016
EMF INSTITUTE LTD,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-804,NA,1483,9870,29716,9066,10029-6801,198406,2016
EN GARDE ARTS INC,White,theater,N,N,n/a,Y,NA,NA,7,37500,-33909,0,12653,625339,71898,195029,10003-8385,201210,2016
ENCOMPASS THEATRE COMPANY INC,White,opera,N,N,n/a,Y,NA,NA,1,250,-25649,28776,7118,177115,55628,85728,11221-5113,201507,2016
EPIC THEATRE CENTER INC,White,theater,N,N,n/a,Y,NA,NA,6,214500,-279772,3090,-96,732076,59354,582596,11694-1808,201407,2016
EPIPHANY MAGAZINE INC,White,literary arts,N,N,n/a,N,NA,NA,NA,NA,-11233,0,0,85354,66210,63643,11105-3110,198502,2016
EQUUS PROJECTS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-12652,13592,3144,49737,242000,15112,10022-0000,200310,2016
FANFARE THEATRE ENSEMBLE INC,White,theater,N,N,n/a,MD,NA,NA,NA,NA,-42203,-55405,-15653,46621,12962,650,10003-4804,200807,2016
FAUX REAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-5170,549915,-359337,31328,477899,31751,NA,200010,2016
FLAMENCO LATINO,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-21000,84916,60302,124906,229734,13675,10021-0000,199408,2016
FORESIGHT FILMS INC,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,NA,-1222721,30594,26526,149205,98163,0,10003-5119,198105,2016
FOUNDATION 20 21,White,film/electronic/media,N,N,n/a,MD,NA,NA,1,2100000,-5702141,NA,50875,3776494,197013,0,11216-0000,201605,2016
FRENCH CONSERVATORY OF MUSIC INC,White,music: classical,N,N,n/a,MD,NA,NA,NA,NA,-11294,NA,33619,19662,251706,14994,10003-8903,198204,2016
FRIEZE ART INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-17956,218416,1313852,351848,3280358,0,10018-3954,199106,2016
FRIGID NEW YORK INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-7225,27492,-15011,229286,130826,114052,10024-1595,201403,2016
FROG & PEACH THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-13479,20584,-951,57843,28320,57758,10036-7408,200709,2016
FUNDAMENTAL THEATER PROJECT,White,theater,N,N,n/a,N,NA,NA,NA,NA,-12116,17290188,-698160,28042,2481547,30719,10038-2101,198903,2016
GABRIELLE LANSNER AND COMPANY INCORPORATED,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-101849,NA,-5434,112748,38066,16727,10021-3610,201703,2016
GAMELAN KUSUMA LARAS INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,NA,NA,NA,NA,-4277,NA,-137,22642,450,150,10022-6570,201603,2016
GATHERING OF THE TRIBES,Multiracial,literary arts,Y,Y,n/a,NA,NA,NA,NA,NA,-179005,54929,13562,69798,192822,116399,11101-3528,200705,2016
GELSEY KIRKLAND ACADEMY OF CLASSICAL BALLET,White,dance: ballet,N,N,n/a,N,NA,NA,NA,NA,-70394,-1716219,-667000,2354703,2214070,37131,10019-6895,201101,2016
GEOPARADISE INC,White,multidisciplinary,Y,N,n/a,N,NA,NA,NA,NA,-76024,-190153,-408452,552402,747395,265499,10128-0683,199010,2016
GERMAN AMERICAN COMMUNITY PROJECT INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-335,361992,56050,1256,250046,0,10022-1906,200403,2016
GRAPHIC ARTISTS GUILD FOUNDATION INC,White,other: graphic design,N,N,n/a,N,NA,NA,NA,NA,-8638,85813,-8964,7981,128905,0,10013-2349,199608,2016
GROUND UP PRODUCTIONS,White,theater,N,N,n/a,N,NA,NA,1,500,-3432,1759,327,15572,1470,15005,11372-3927,201405,2016
HARBOR LIGHTS THEATER COMPANY INC HARBOR LIGHTS,White,theater,N,N,n/a,MD,NA,NA,NA,NA,-119976,-981245,-143153,138888,2750136,72024,11203-2804,199203,2016
HARLEM ARTS ALLIANCE,Multiracial,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-119863,57805,-54755,72620,23700,69485,10025-6523,200505,2016
HARLEM WEEK INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,1,5000,-208269,3915357,-766864,811173,11698097,564173,10022-1011,193710,2016
HARMONIE ENSEMBLE INC,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-23870,53429,-36252,57980,37776,44500,10018-9754,199009,2016
HARVESTWORKS INC,White,film/electronic/media,N,N,n/a,N,NA,NA,4,24500,-38981,9304297,-636821,407331,1241438,301224,10107-0001,197601,2016
HEARTBEAT OPERA LTD,White,opera,Y,N,n/a,Y,NA,NA,2,6500,-837,NA,7945,72702,14693,46142,10471-0602,201504,2016
HIGHLIGHTS IN JAZZ,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-6027,-48741,1070,64374,1640,6600,10017-0000,200204,2016
HISPANIC ORGANIZATION OF LATIN ACTORS,Hispanic/Latino,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-7710,9717,-5954,70780,0,66714,10016-2622,200304,2016
HOUSE FOUNDATION FOR THE ARTS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,11,192000,-32004,1162,-800,589719,1000,316420,10022-0000,201412,2016
HWANG GALLERY INC,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,NA,-49,NA,3415762,12112,4794816,9892,10065-7203,200109,2016
IKON ARTS FOUNDATION INC,White,visual arts,N,N,n/a,N,Cultural Heritage,NA,NA,NA,-12361,NA,-50535,30359,50132,24336,11380-0314,200206,2016
IMPACT THEATRE INC,Black,multidisciplinary,Y,Y,n/a,NA,NA,NA,1,200,-4855,NA,-15130,114859,39660,3500,10027-5904,201203,2016
INDEPENDENT FILMWORKS INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,NA,-59701,NA,210118,65988,779654,56091,10001-6243,199308,2016
INDEPENDENT MEDIA ARTS PRESERVATION INC,White,film/electronic/media,N,N,n/a,MD,NA,closed? 2015,NA,NA,-3138,-139902,-18232,13174,199020,3130,11201-0000,198704,2016
INDIAN CULTURAL SOCIETY INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,NA,-1821,744998,63102,19964,326038,19405,10021-3705,199807,2016
INDO CARIBBEAN FEDERATION INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,NA,-13438,121604,-29917,16558,429880,12280,10012-2308,198402,2016
INDO-AMERICAN ARTS COUNCIL INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,5,12750,-116256,229819,55955,255974,260848,147206,11385-5901,199407,2016
INFINITY DANCE THEATER COMPANY LTD,White,dance: other,N,N,Disability,N,NA,NA,1,2500,-10020,23897977,-433999,29627,4388188,28760,10168-4595,197208,2016
INNERVISION THEATRE ARTS CENTER INC,Black,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-248259,29774,-10752,265505,186474,0,10019-0000,200708,2016
INNOVATIVE ARTS INC,MD,theater,MD,MD,MD,MD,NA,NA,NA,NA,-15891,0,0,20866,3000,3818,11105-2919,200805,2016
INSTITUTE OF PLAY INC,White,other:game design,N,N,n/a,N,NA,NA,1,5000,-688089,6359,-1396,1962985,59512,495396,11216-2415,200103,2016
INTERNATIONAL THEATRE AND LITERACY PROJECT INC,White,theater,Y,N,n/a,N,NA,NA,NA,NA,-135,47036,-8203,34723,170613,33788,10306-3511,200509,2016
IRISH HUNGER MEMORIAL FOUNDATION,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,NA,-19715,15078,-57,826,60692,100,11412-3522,201201,2016
ITALIAN AMERICAN MUSEUM,White,folk arts/heritage,N,N,n/a,N,NA,NA,1,1000,-2462529,263292,-9583,145214,34683,84932,10036-6902,197808,2016
J-COLLABO ORG CORP,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,NA,-20079,1014,1348,16141,61116,2276,NA,200902,2016
JAKE TV INC,White,film/electronic/media,N,N,Religion: Jewish,N,NA,NA,NA,NA,-7173,94259,4212,98839,18832,90288,10023-3670,200111,2016
JEZEBEL PRODUCTIONS INC,White,film/electronic/media,N,N,Women,N,NA,NA,NA,NA,-20745,33811,-9557,30962,84505,8149,10027-7703,201008,2016
JOSE LIMON DANCE FOUNDATION,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,7,192500,-9908,52011,-46410,1244587,1567451,874424,10017-4119,200906,2016
KEEP RISING TO THE TOP,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,1,3500,-6901,60842,38635,25777,130302,11443,10028-0000,200102,2016
KEYSTONE DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-18152,NA,-7741,6964,0,4000,10001-2813,201203,2016
KINDRED SPIRITS FOUNDATION INC,White,multidisciplinary,N,N,Youth,ND,NA,NA,NA,NA,-98538,238675,65209,26517,372508,20800,10021-5054,198402,2016
KOREAN AMERICAN ASSOCIATION OF QUEENS NEW YORK INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-3862,-38331,31106,109211,260392,6300,10003-8904,201004,2016
KOREAN AMERICAN HERITAGE FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-134181,77991,-36239,139660,0,14650,NA,197012,2016
KS JAMM DANCE TROUPE INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,NA,-4972,NA,-3454,173703,82894,23340,10036-6524,201209,2016
KYO SHIN AN ARTS INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,Cultural Heritage,NA,2,4600,-31592,41418,13735,68253,17436632,30850,10023-6548,200111,2016
LABYRINTH INC,White,theater,N,N,n/a,N,NA,NA,8,188000,-172633,7026,-239,1008122,158699,815979,10170-0002,201108,2016
LATIN AMERICAN WORKSHOP INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-34222,1080,4708,477085,14352,117105,11215-7038,200807,2016
LES BALLETS GRANDIVA LTD,White,dance: ballet,N,N,n/a,N,NA,NA,NA,NA,-47671,8671829,741381,570,1545027,0,10036-5205,195704,2016
LIFE THROUGH DANCE INC,White,dance: other,N,N,n/a,N,NA,NA,1,10000,-50295,4629838,-46185,145515,2587408,92507,11214-1907,199904,2016
LIVING TRADITIONS INC,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,NA,-15279,1860,-1860,90858,1287,60000,10023-2072,201506,2016
LOLA LOUIS CREATIVE AND PERFORMING ARTS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-3225,-11949,8687,34716,399248,36362,10014-5002,200907,2016
LOUISE T BLOUIN FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,NA,closed?,NA,NA,-6425133,NA,2372,172812,182099,0,11215-8035,198101,2016
LOVE CREEK PRODUCTIONS INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-211419,7113,-7004,14633,35631,50,10305-4616,200905,2016
LUBOVITCH DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,6,97750,-102594,496172,-4296,517723,1844078,418580,10022-2600,201205,2016
MAKAM NEW YORK INC,Middle Eastern,music: other,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-429,NA,-29706,152956,61152,133547,11231-1338,199408,2016
MAKE MUSIC NEW YORK INC,White,music: other,Y,N,n/a,N,NA,NA,4,14000,-6944,7868,-6252,192597,63498,152960,10003-9345,200606,2016
MANHATTAN ENSEMBLE THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-1461284,-24829,7173,56057,27127,45808,10011-4622,200407,2016
MANHATTAN YOUTH BALLET INC,White,dance: ballet,N,N,Youth,N,NA,NA,1,5000,-61904,NA,28,933703,5100,0,11229-2430,201709,2016
MANNA HOUSE WORKSHOPS INC,Black,music: other,Y,Y,n/a,NA,NA,NA,NA,NA,-149172,17855,-17629,166198,10996,102680,11101-0858,200702,2016
MARK STUART DANCE THEATRE INC,White,dance: other,N,N,n/a,N,NA,NA,1,15000,-46473,18822128,-3331532,23708,5363242,10098,10279-0001,199104,2016
MARTHA GRAHAM SCHOOL OF CONTEMPORARY DANCE INC,White,dance: other,N,N,n/a,N,NA,NA,1,5000,-513660,3852605,-698334,815045,546183,285437,10028-0101,194301,2016
MARTIN LUTHER KING JR CONCERT SERIES INC,Black,music: other,N,Y,n/a,NA,NA,NA,NA,NA,-372543,14222,8082,658629,87257,580400,10003-4848,199311,2016
MATTHEW COROZINE STUDIO THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-10429,134902,7051,196874,35636,0,10027-0000,196004,2016
MILLENNIUM DANCE COMPANY INC,Black,dance: other,N,Y,Youth,NA,NA,NA,1,10000,-20779,4845561,545846,36907,2877530,0,10011-6301,193311,2016
MIMI GARRARD DANCE COMPANY INC,White,multidisciplinary,N,N,n/a,N,NA,NA,2,3250,-51283,49837,-15193,9686,-5691,8025,10170-2820,198712,2016
MISNOMER,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-154361,45328,49784,1027390,326647,177356,10036-6809,200508,2016
MODERN DAY GRIOT THEATRE COMPANY,Black,theater,N,Y,n/a,NA,NA,NA,NA,NA,-20907,347287,98308,11492,1144183,6850,10002-3300,199504,2016
MOMA AUXILIARIES INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-1252533,NA,2494,0,155000,0,11201-4618,201703,2016
MORBID ANATOMY MUSEUM,White,other,N,N,n/a,N,NA,closed 2016,3,8800,-210859,522147,-62897,619644,942439,310118,11103-3349,197012,2016
MULLER WORKS FOUNDATION,White,dance: other,N,N,n/a,N,NA,closed?,1,2000,-119438,46848287,-265080,390046,1781355,287028,10024-0000,193607,2016
MUSIC AT THE ANTHOLOGY INC,White,music: other,N,N,n/a,N,NA,NA,8,34600,-12320,5698133,-393985,194613,3472001,174124,10038-4912,197402,2016
MUSIC BRIDGES INTERNATIONAL INC,White,music: classical,N,N,n/a,MD,NA,closed?,1,2500,-2626,NA,7650,84,55650,0,10022-6831,201208,2016
MUSIC BRINGS LIFE INC,Multiracial,music: other,Y,Y,n/a,NA,NA,NA,NA,NA,-237,3186,-100,3472,0,3147,10002-4057,198911,2016
MUSIC OF THE SPHERES SOCIETY INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-10019,1352483,-3481,1459,804816,560,10025-2775,199204,2016
MUSIC THEATRE GROUP INC,White,theater,N,N,n/a,MD,NA,closed 2016,3,11100,-99154,6780,1542,39658,57357,40211,10012-3764,201504,2016
MUSICA DE CAMARA INC,Hispanic/Latino,music: classical,N,Y,n/a,NA,NA,NA,1,5000,-13093,23913,2513,109834,211313,111652,10025-2006,200207,2016
MUSICA SACRA INC,White,music: other,N,N,n/a,N,NA,NA,2,2700,-32685,1589935,73126,528483,1260702,143049,10001-5511,200711,2016
MUSICIANS ACCORD INC,White,music: other,N,N,n/a,N,NA,NA,1,5000,-431,9452,12125,2080,65887,1250,11215-0597,198809,2016
MUSIQUARIUM INC,White,music: other,N,N,n/a,ND,NA,NA,NA,NA,-9416,NA,-1356,88456,99975,6287,NA,200512,2016
