NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
ENSEMBLE FOR THE ROMANTIC CENTURY INC,White,music: other,N,N,n/a,N,NA,NA,NA,-30812,168325,-199137,573407,374270,318672,10019-6702,200206,NA,2017
EPIC THEATRE CENTER INC,White,theater,N,N,n/a,Y,NA,5,117500,-295359,-279772,-15587,825863,810276,563821,10018-0568,200105,NA,2017
EPIDAVROS PROJECT INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-36366,32416,-68782,161100,92318,79735,10011-3630,199702,NA,2017
EPIPHANY MAGAZINE INC,White,literary arts,N,N,n/a,N,NA,NA,NA,-9617,-11233,1614,98273,99887,71387,10014-4502,200707,NA,2017
EQUUS PROJECTS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-12652,-4559,-8093,49737,41644,15112,10011-5436,200406,NA,2017
ESS COMMUNITY PROJECTS INC,White,multidisciplinary,Y,N,n/a,N,NA,NA,NA,-3525,NA,-3525,95698,92173,1950,11222-4638,201804,NA,2017
FANFARE THEATRE ENSEMBLE INC,White,theater,N,N,n/a,MD,NA,NA,NA,-42203,NA,20181,46621,66802,650,10003-9001,197504,NA,2017
FAOU FOUNDATION,Asian/Pacific Islander,visual arts,Y,Y,n/a,NA,NA,NA,NA,-51076,493,-51569,213047,161478,161462,10018-5706,201007,NA,2017
FAUX REAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-6,NA,3246,22876,26122,26122,11205-1125,199707,NA,2017
FESTIVAL OF NEW TRUMPET MUSIC INC,White,music: other,Y,N,n/a,Y,NA,NA,NA,-4533,1296,-5829,34103,28274,23274,10276-1654,200705,NA,2017
FILMAID INTERNATIONAL INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,-161090,284513,-283335,1774610,1491275,1508246,10001-7605,200306,NA,2017
FORESIGHT FILMS INC,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,-1366918,-1222721,-144197,144269,72,0,11217-4695,198307,NA,2017
FOUNDATION 20 21,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,-5702141,-1925647,-3776494,3776494,0,0,11217-2308,199304,NA,2017
FRIGID NEW YORK INC,White,theater,N,N,n/a,N,NA,1,30000,-47016,-7225,-5628,189914,184286,58364,10003-8904,201004,NA,2017
FROG & PEACH THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,-5063,-13479,18416,71747,90163,90163,10034-4805,201208,NA,2017
FUND FOR ST PETERS BUILDINGS INC,White,architecture and design,N,N,n/a,N,NA,1,300000,-107223,NA,-739775,849284,109509,100068,10011-3302,201602,NA,2017
FUNDAMENTAL THEATER PROJECT,White,theater,N,N,n/a,N,NA,NA,NA,-30015,-12116,-17899,54120,36221,32106,11215-4710,201602,NA,2017
GALLIM DANCE COMPANY INC,White,dance: other,Y,N,n/a,Y,NA,NA,NA,-30137,246672,-182858,714167,531309,299138,10023-1691,201011,NA,2017
GATHERING OF THE TRIBES,Multiracial,literary arts,Y,Y,n/a,NA,NA,NA,NA,-186599,-179005,-7594,58478,50884,50884,10009-8973,201506,NA,2017
GELSEY KIRKLAND ACADEMY OF CLASSICAL BALLET,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-70394,91935,-162329,2354703,2192374,37131,11201-1105,201012,NA,2017
GEOPARADISE INC,White,multidisciplinary,Y,N,n/a,N,NA,NA,NA,-214492,-76024,-113064,502926,389862,76820,10003-7800,201409,NA,2017
GERMAN AMERICAN COMMUNITY PROJECT INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-1120,-335,-785,785,0,0,10163-1501,200806,NA,2017
GLOBAL ENTERTAINMENT INDUSTRY SUMMIT INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-2100,NA,-2100,2100,0,0,10024-4224,201808,NA,2017
GOOD PENNYWORTHS INC,White,music: other,N,N,n/a,N,NA,NA,NA,-112,21,-133,2173,2040,607,10025-5575,198709,NA,2017
GRAPHIC ARTISTS GUILD FOUNDATION INC,White,other: graphic design,N,N,n/a,N,NA,NA,NA,-8638,-657,-7981,7981,0,0,10001-3030,198404,NA,2017
GROUND UP PRODUCTIONS,White,theater,N,N,n/a,N,NA,NA,NA,-3432,NA,1493,15572,17065,15005,10014-5704,200707,NA,2017
GUYANA CULTURAL ASSOCIATION OF NEW YORK INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-3665,0,-3665,80215,76550,48955,11236-5122,200809,Cultural Heritage,2017
HARBOR LIGHTS THEATER COMPANY INC HARBOR LIGHTS,White,theater,N,N,n/a,MD,NA,NA,NA,-119976,-126506,6530,138888,145418,72024,NA,201010,NA,2017
HARLEM ARTS ALLIANCE,Multiracial,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-46102,-119863,73761,96826,170587,163937,10030-2854,200611,NA,2017
HARLEM OPERA THEATER INC,Black,opera,N,Y,n/a,NA,NA,2,500,-7722,NA,-14902,47336,32434,32434,10031-5209,200205,NA,2017
HARLEM WEEK INC,Black,multidisciplinary,N,Y,n/a,NA,NA,2,27500,-137098,-208269,112600,601210,713810,600525,10030-2602,198104,NA,2017
HARMONIE ENSEMBLE INC,White,music: classical,N,N,n/a,N,NA,1,3000,-666,-23870,23204,69979,93183,89755,10025-5386,198201,NA,2017
HARPERS MAGAZINE FOUNDATION,White,literary arts,N,N,n/a,No,NA,NA,NA,-148705,84122,-231065,6847660,6616595,4162238,10012-2317,198105,NA,2017
HARVESTWORKS INC,White,film/electronic/media,N,N,n/a,N,NA,7,44555,-51924,-38981,7693,391584,399277,302500,10012-3396,197706,NA,2017
HIGHLIGHTS IN JAZZ,White,music: other,N,N,n/a,N,NA,NA,NA,-6027,9803,-15830,64374,48544,6600,10010-6601,197611,NA,2017
HISPANIC ORGANIZATION OF LATIN ACTORS,Hispanic/Latino,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,-7710,-10352,2642,70780,73422,66714,10002-3387,198111,NA,2017
HUNDRED GRAND DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,1,1500,-24368,8357,-33626,103883,70257,14910,10013-2659,199406,NA,2017
HWANG GALLERY INC,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,-244,NA,-42,61,19,0,11354-5403,0,NA,2017
IKON ARTS FOUNDATION INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-16569,-12361,-4208,39792,35584,35584,11249-6127,201308,Cultural Heritage,2017
IMAGINE SCIENCE FILMS CORP,White,film/electronic/media,N,N,n/a,N,NA,1,22500,-26078,46861,-72939,321643,248704,120543,11205-1095,200903,NA,2017
IMPACT THEATRE INC,Black,multidisciplinary,Y,Y,n/a,NA,NA,1,10000,-3994,-4855,861,140940,141801,1850,10025-5059,200405,NA,2017
INDEPENDENT FILMWORKS INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,-61276,-59701,-1575,2199,624,0,10001-6818,199507,NA,2017
INDIAN CULTURAL SOCIETY INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-1821,-1320,-501,19964,19463,19405,11420-1618,200804,NA,2017
INDO CARIBBEAN FEDERATION INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-14050,-13438,-612,16798,16186,15115,11418-2922,201510,NA,2017
INDO-AMERICAN ARTS COUNCIL INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,5,4130,-182458,-116256,-66202,338026,271824,193809,10021-3701,199901,NA,2017
INFINITY DANCE THEATER COMPANY LTD,White,dance: other,N,N,Disability,N,NA,NA,NA,-7912,NA,7741,27818,35559,34885,10025-7484,201611,NA,2017
INNERVISION THEATRE ARTS CENTER INC,Black,dance: other,N,Y,n/a,NA,NA,NA,NA,-248259,-244468,-4089,265505,261416,0,11434-1335,201008,NA,2017
INNOVATIVE ARTS INC,MD,theater,MD,MD,MD,MD,NA,NA,NA,-27588,-15891,-11697,17180,5483,5483,10023-2913,200703,NA,2017
INSTITUTE FOR RELEASING INITIATIVE,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-1543,25130,-26673,43155,16482,16399,11232-1303,199805,NA,2017
INSTITUTE OF PLAY INC,White,other:game design,N,N,n/a,N,NA,NA,NA,-688089,-304341,-395864,1962985,1567121,495396,NA,200709,NA,2017
IRISH HUNGER MEMORIAL FOUNDATION,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,-20398,-19715,-683,783,100,100,10104-0101,200803,NA,2017
ITALIAN AMERICAN MUSEUM,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,-2753607,-2462529,-291078,121949,-169129,78672,10461-1802,200204,NA,2017
J-COLLABO ORG CORP,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,-20079,-6214,-13865,16141,2276,2276,11215-3486,201206,NA,2017
JAKE TV INC,White,film/electronic/media,N,N,Religion: Jewish,N,NA,NA,NA,-34700,-7173,-27527,148359,120832,120832,11219-2640,201505,NA,2017
KEEP RISING TO THE TOP,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,-6901,2804,-8984,25777,16793,11443,10029-5737,201405,NA,2017
KEYSTONE DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,1,1000,-18152,-16090,-2062,6964,4902,4000,10001-4902,199307,NA,2017
KINDRED SPIRITS FOUNDATION INC,White,multidisciplinary,N,N,Youth,ND,NA,NA,NA,-85181,NA,7939,45493,53432,41639,10023-5448,199504,NA,2017
KOREAN AMERICAN HERITAGE FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,1,1000,-134181,-134171,-10,139660,139650,14650,NA,201112,Cultural Heritage,2017
KOREAN CULTURE CENTER OF NEW YORK INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-2835,750,-3585,83717,80132,80132,10001-3878,201502,Cultural Heritage,2017
KS JAMM DANCE TROUPE INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,-7318,-4972,-2346,165292,162946,21925,11216-4668,200509,NA,2017
KWELI JOURNAL INC,Multiracial,literary arts,Y,Y,n/a,NA,NA,NA,NA,-17986,NA,2289,43939,46228,18644,10021-0028,201009,NA,2017
KYO SHIN AN ARTS INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,NA,1,1600,-31592,NA,-7679,68253,60574,30850,11215-2340,200902,Cultural Heritage,2017
LATIN AMERICAN WORKSHOP INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-34732,-34222,-510,453350,452840,119776,10029-6801,199007,NA,2017
LEAGUE OF COMPOSERS INTL SOC FOR CONTEMPORARY MUSIC U S SECTION INC,White,music: other,N,N,n/a,N,NA,NA,NA,-26396,5078,-31474,156488,125014,94256,10003-6757,196003,NA,2017
LES BALLETS GRANDIVA LTD,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-47671,-48741,1070,570,1640,0,10017-0000,200204,NA,2017
LIFE THROUGH DANCE INC,White,dance: other,N,N,n/a,N,NA,1,10000,-40804,-50295,9489,118721,128210,126489,10025-3404,199310,NA,2017
LIGHT INDUSTRY CINEMA PROJECTS LTD,White,film/electronic/media,N,N,n/a,N,NA,3,76000,-8052,NA,-42603,154153,111550,30464,11222-5471,200902,NA,2017
LILITH PUBLICATIONS INC,White,literary arts,N,N,Women/Jewish,N,NA,NA,NA,-33510,28497,-62007,512994,450987,382517,10019-2400,197504,NA,2017
LIVING TRADITIONS INC,White,folk arts/heritage,N,N,n/a,N,NA,3,29200,-15279,NA,-29706,90858,61152,60000,11231-1338,199408,NA,2017
LOFTOPERA INC LOFTOPERA,White,opera,N,N,n/a,N,NA,NA,NA,-2942,39679,-46144,765622,719478,437123,NA,201510,NA,2017
LOUISE T BLOUIN FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,closed?,NA,NA,-6581502,-6425133,-156369,52040,-104329,0,10005-4418,201508,NA,2017
LUBOVITCH DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,7,122550,-35652,-102594,66942,483869,550811,432221,10036-7205,197206,NA,2017
LUMIS MEDIA INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,-40854,NA,-55842,75842,20000,20000,10044-0124,201701,NA,2017
MAKE MUSIC NEW YORK INC,White,music: other,Y,N,n/a,N,NA,6,50500,-6944,32693,-39637,192597,152960,152960,11102-3451,200807,NA,2017
MANHATTAN ENSEMBLE THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,-1460383,-1461284,902,56322,57224,57100,10014-3276,199912,NA,2017
MANHATTAN YOUTH BALLET INC,White,dance: ballet,N,N,Youth,N,NA,4,23018,-85285,-61904,-23381,799374,775993,0,10023-7403,200703,NA,2017
MANNA HOUSE WORKSHOPS INC,Black,music: other,Y,Y,n/a,NA,NA,NA,NA,-288573,NA,-42694,210176,167482,167482,10029-4833,196804,NA,2017
MARK STUART DANCE THEATRE INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-46612,-46473,-139,4859,4720,0,10036-6800,201201,NA,2017
MARTHA GRAHAM SCHOOL OF CONTEMPORARY DANCE INC,White,dance: other,N,N,n/a,N,NA,1,5000,-516011,-513660,-2351,876780,874429,228763,10065-7787,195901,NA,2017
MARTIN LUTHER KING JR CONCERT SERIES INC,Black,music: other,N,Y,n/a,NA,NA,NA,NA,-372543,-295622,-78221,658629,580408,580400,11201-3832,198306,NA,2017
MELA FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-39416,24422,-63796,325675,261879,172869,10013-3414,198710,NA,2017
METEOR FILMS INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,-5980,1,-5980,33882,27902,20000,10014-7500,200411,NA,2017
