NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
14TH FACTORY FOUNDATION,White,visual arts,N,N,n/a,MD,closed?,NA,NA,-2390138,-2260958,-129180,2183282,2054102,2054000,10010-2913,201507,NA,2017
29TH STREET REPERTORY THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,-97,104,-201,99212,99011,0,10001-5288,199104,NA,2017
ABINGDON THEATRE COMPANY,White,theater,N,N,n/a,Y,NA,11,73200,-38883,-146245,107362,894438,1001800,548230,10001-6763,199404,NA,2017
ACMP - ASSOCIATED CHAMBER MUSIC PLAYERS INC,White,music: classical,N,N,n/a,N,NA,NA,NA,-104211,-40815,-63396,175420,112024,106852,10010-8046,197101,NA,2017
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,NA,-3145950,-2383219,-762731,2947737,2185006,766787,10019-6895,201101,NA,2017
ALL FOR ONE THEATER FESTIVAL INC,White,theater,N,N,n/a,N,NA,1,15000,-11254,27210,-38464,484989,446525,424092,10019-6833,201209,NA,2017
ALMANACK ARTS COLONY INC,White,multidisciplinary,N,N,n/a,N,NA,4,85600,-60763,NA,-78503,204800,126297,126297,10010-6908,201602,NA,2017
ALPHA OMEGA 1-7 THEATRICAL DANCE,Black,dance: other,Y,Y,n/a,NA,NA,NA,NA,-717,33,-750,75385,74635,0,10003-8903,197611,NA,2017
ALWAN FOUNDATION INC,Middle Eastern,multidisciplinary,Y,Y,n/a,NA,NA,3,14770,-35856,-35587,-268,234711,234443,206948,10018-1411,200407,NA,2017
AMERICAN AGORA FOUNDATION INC,White,literary arts,N,N,n/a,N,NA,19,326500,-789230,-382539,-370180,3339472,2969292,1105381,10003-2112,200607,NA,2017
AMERICAN DANCE MACHINE FOR THE 21ST CENTURY FOUNDATION INC,White,theater,N,N,n/a,N,NA,2,17500,-103158,-78710,-24448,339293,314845,64765,10075-0189,201211,NA,2017
AMERICAN MODERN ENSEMBLE,White,music: classical,N,N,n/a,N,NA,2,16000,-14295,-9424,-4871,253283,248412,119775,10036-6316,200708,NA,2017
AMERICAN SYMPHONY ORCHESTRA INC,White,music: classical,N,N,n/a,N,NA,2,13000,-1037901,-974727,-63174,3301829,3238655,1947432,10018-0286,196412,NA,2017
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,3,150500,-44598,-30893,-13705,763653,749948,302295,10014-2840,198803,NA,2017
AMERICAN THEATER OF ACTORS INC,White,theater,N,N,n/a,N,NA,NA,NA,-329,0,-380,148179,147799,48109,10019-5102,197905,NA,2017
AMOR ARTIS INC,White,music: classical,N,N,n/a,N,NA,5,15498,-10779,-5961,-4818,141436,136618,102146,10024-0097,196311,NA,2017
AMORALISTS INC,White,theater,N,N,n/a,Y,closed?,NA,NA,-6662,-2033,-4629,38188,33559,0,10034-4209,201503,NA,2017
ANAKAWONA CULTURAL ASSOCIATION INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,-4730,-4040,4730,0,4730,4730,11691-1919,201108,NA,2017
ANDERSON & BERT CADE FULTON FOUNDATION,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-17550,NA,-17550,25750,8200,8200,11216-2648,201911,NA,2017
ARCHIVE OF CONTEMPORARY MUSIC,White,music: other,N,N,n/a,N,NA,2,10000,-68085,51535,-119620,254465,134845,16650,10013-4064,198611,NA,2017
ARDEA ARTS INC,White,opera,N,N,n/a,N,NA,4,16000,-31341,96,-31437,321381,289944,285715,10013-2654,200612,NA,2017
ARIRANG FOUNDATION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,-2300,0,-2300,2300,0,0,11356-0000,201507,NA,2017
ART KIBBUTZ,White,multidisciplinary,N,N,Religion: Jewish,N,NA,NA,NA,-5236,2833,-8069,29078,21009,16436,10463-1920,201412,NA,2017
ART START INCORPORATED,Multiracial,multidisciplinary,Y,Y,Youth,NA,NA,10,85451,-94028,-77037,-16991,511956,494965,494965,10001-5521,199904,NA,2017
ART STORY FOUNDATION,White,visual arts,N,N,n/a,N,NA,1,5000,-5944,NA,-5066,49810,44744,11512,10023-2762,200904,NA,2017
ART SWEATS INC,White,dance: other,N,N,n/a,N,NA,1,2500,-46009,-101142,55133,194726,249859,49096,10004-3237,199506,NA,2017
ARTS & BUSINESS COUNCIL OF NEW YORK INC,White,multidisciplinary,Y,N,n/a,Y,merged w amer. Ft arts?,4,18300,-112784,-38642,-74142,217849,143707,133848,10022-4242,197309,NA,2017
ARTS HOUSE SCHOOLS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-16943,-14037,-2906,203439,200533,109362,11224-2810,200806,NA,2017
ARTSTOR INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-1321093,-2650608,1347355,9765384,11112739,0,NA,200306,NA,2017
ASIAN AMERICAN ARTS CENTER INC,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,17,671600,-1574,35335,-36909,39494,2585,2585,10002-3389,201611,NA,2017
ASIAN CINE-VISION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,-158134,-139902,-18232,217252,199020,172737,11201-0000,198704,NA,2017
ASSOCIATION FOR DEVELOPMENT OF DRAMATIC ARTS INC,White,theater,N,N,n/a,N,NA,NA,NA,-249,NA,61000,180931,241931,45902,NA,197403,NA,2017
ASTORIA MUSIC SOCIETY INC,White,music: classical,N,N,n/a,MD,closed?,NA,NA,-1849,-2864,1015,58973,59988,24171,11105-3406,200408,NA,2017
AUBIN PICTURES INC,White,film/electronic/media,Y,N,n/a,N,NA,2,11000,-636,-49317,63102,761176,824278,788142,10013-3135,199704,NA,2017
AUSCHWITZ JEWISH CENTER FOUNDATION INC,White,folk arts/heritage,Y,N,Religion: Jewish,N,NA,3,12500,-322612,299521,-396158,786499,390341,227761,10280-1502,199612,Cultural Heritage,2017
AUTONOMEDIA INC,White,literary arts,Y,N,n/a,N,NA,NA,NA,-2239,6038,-8277,74387,66110,0,11211-0568,199010,NA,2017
BAILEYS CAFE INC,Black,multidisciplinary,Y,Y,n/a,NA,NA,1,50000,-984,1372,-2356,156055,153699,153699,11238-4400,200409,NA,2017
BALLET FOR YOUNG AUDIENCES BALLET REPERTORY LTD OF NEW YORK CITY,White,dance: ballet,N,N,Youth,N,closed?,NA,NA,-1758,5883,-7641,45291,37650,0,11101-5000,199505,NA,2017
BALLET NEXT INC,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-6395,-82863,76468,35792,112260,104911,10023-7448,201211,NA,2017
BAR HARBOR FESTIVAL CORPORATION,White,music: classical,N,N,n/a,N,NA,6,9500,-11373,-126855,115482,282387,397869,292695,10025-6220,196712,NA,2017
BIG APPLE CIRCUS LTD,White,other,N,N,n/a,N,NA,3,33500,-2107899,-886817,-1069660,18286102,17216442,4234427,NA,200003,NA,2017
BILLIE HOLIDAY THEATRE INCORPORATED,Black,multidisciplinary,N,Y,n/a,NA,NA,2,71000,-372224,-381005,8781,270264,279045,216829,11216-5372,201210,NA,2017
BLACK GIRLS ROCK INC,Black,music: other,Y,Y,Youth,NA,NA,NA,NA,-189971,-210814,20843,236879,257722,41267,11238-1916,201502,NA,2017
BOOKLYN INCORPORATED,White,literary arts,Y,N,n/a,Y,NA,NA,NA,-171497,-54771,-116726,334087,217361,40737,11220-2521,200304,NA,2017
BORN DANCING INC,White,dance: other,Y,N,Disability,Y,NA,3,10000,-29850,-2888,-18103,57467,39364,32568,10033-4555,201411,NA,2017
BREAKING WALLS INC,Multiracial,other,Y,Y,Youth,NA,NA,NA,NA,-5549,-4721,-6975,52272,45297,45297,10014-1642,201310,NA,2017
BRONX DANCE THEATRE INC,Black,dance: other,N,Y,Youth,NA,closed 2020?,1,10000,-12579,26775,-39354,641653,602299,278440,NA,198308,NA,2017
BROOKLYN ART INCUBATOR INC,Black,multidisciplinary,Y,Y,Youth,NA,NA,NA,NA,-44,-6921,6026,100425,106451,106451,11202-0648,200309,NA,2017
BROOKLYN CHILDRENS MUSEUM CORP,White,multidisciplinary,Y,N,Youth,Y,NA,12,155500,-1676755,-2895836,712548,4948715,5661263,4045958,11213-1930,198110,NA,2017
BROOKLYNS THREE KINGS DAY PARADE INC,Multiracial,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-16541,551,-15990,36150,20160,20160,11206-3374,194206,NA,2017
CAPOEIRA FOUNDATION INC,Black/Latino,dance: other,Y,Y,n/a,NA,NA,NA,NA,-48759,-61375,12616,122257,134873,37661,10014-2010,198305,NA,2017
CENTER FOR INITIATIVE IN ART ANDCULTURE INC,White,visual arts,N,N,n/a,N,NA,4,18000,-5686,1426,-7112,127655,120543,81025,10022-2422,200811,NA,2017
CHINESE AMERICAN ARTS COUNCIL INCORPORATED,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-134089,-161421,27332,148003,175335,155809,10013-5800,198209,NA,2017
CHINESE CULTURAL FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,Y,Y,n/a,NA,NA,1,25000,-44395,-87798,43403,74908,118311,118311,10019-4919,200311,NA,2017
CHURCH STREET SCHOOL FOR MUSIC AND ART,White,multidisciplinary,Y,N,Youth,Y,NA,4,9500,-1261124,-1200064,-61060,2109013,2047953,477234,10013-3549,199402,NA,2017
CITY THEATRE PROJECT INC,White,theater,N,N,n/a,N,NA,NA,NA,-63599,NA,-13347,101197,87850,87850,10464-1328,201411,NA,2017
CITYWIDE YOUTH OPERA INC,White,opera,N,N,Youth,N,NA,NA,NA,-9172,11598,8729,44890,53619,21987,10017-4805,200507,NA,2017
COLLABORATIVE URBAN SCULPTURE CONJUNCTION ARTS,White,visual arts,N,N,n/a,Y,NA,NA,NA,-32802,NA,1566,46179,47745,47745,11205-1202,199002,NA,2017
COLUMBIA UNIVERSITY PRESS,White,literary arts,N,N,n/a,N,NA,NA,NA,-7401802,-6303207,-1118324,10568752,9450428,1167795,10027-7922,194601,NA,2017
CONSTITUENT ARTS LIMITED,White,theater,N,N,n/a,MD,closed?,NA,NA,-3467,NA,11187,105837,117024,92133,10016-6774,197908,NA,2017
CREATE 4 INC,White,social justice/social practice,Y,N,n/a,MD,NA,NA,NA,-1274,-1274,0,0,0,0,10019-1566,201511,NA,2017
CSC REPERTORY LTD,White,theater,N,N,n/a,Y,NA,19,265628,-249199,-221478,-27721,4034674,4006953,1481643,10003-5306,197110,NA,2017
CULTURE PROJECT INC,White,theater,Y,N,n/a,Y,NA,3,21000,-1222529,-1038661,-183868,1524460,1340592,425571,10002-0000,201905,NA,2017
CULTURENOW INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-9297,-6722,-2575,18208,15633,10573,11101-3553,200210,NA,2017
CURRAN EVENTS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-6045,4723,-10768,119191,108423,85258,10003-9404,200109,NA,2017
DACAPO CHAMBER PLAYERS INC,White,music: classical,N,N,n/a,N,NA,1,7500,-6121,-14509,8388,103766,112154,63441,10024-1223,197208,NA,2017
DAEDALUS PRODUCTIONS INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-16692,-16692,16902,38911,55813,46292,10024-3708,198206,NA,2017
DANCE GIANT STEPS INC,White,dance: other,Y,N,n/a,Y,NA,1,500,-29250,-24531,-4719,32955,28236,26862,11201-3548,198209,NA,2017
DANCE PROJECT OF WASHINGTON HEIGHTS INC,White,dance: other,N,N,n/a,Y,NA,1,1150,-614,3555,-4169,162352,158183,34309,10032-1850,201502,NA,2017
DANCE PROJECT SEQUENCE INC,White,dance: other,N,N,n/a,MD,closed?,NA,NA,-282005,-276292,-5713,19627,13914,91,11101-1631,199708,NA,2017
DANCE RING,White,dance: ballet,N,N,Youth,N,NA,NA,NA,-61265,-286342,225077,858962,1084039,594841,10003-7504,197902,NA,2017
DANCENOW NYC INC,White,dance: other,N,N,n/a,Y,NA,1,3500,-783,NA,-238,110835,110597,73640,10003-5213,198609,NA,2017
DANCES PATRELLE INC,White,dance: ballet,N,N,n/a,Y,NA,2,5700,-9957,30985,-40942,227057,186115,86286,11215-2606,198810,NA,2017
DANCING CRANE INC,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,-44839,NA,-9083,130438,121355,35654,11204-3905,200012,Cultural Heritage,2017
DANCING IN THE STREET INC,White,dance: other,Y,N,n/a,Y,NA,1,15000,-31916,26422,-58338,179257,120919,81781,10455-0000,198604,NA,2017
DANIEL FERRO VOCAL PROGRAM INC,White,music: other,N,N,n/a,N,NA,1,5000,-61882,-87198,25316,75542,100858,93388,10022-8511,199407,NA,2017
DEEP ARTS INC,White,theater,Y,N,n/a,N,NA,NA,NA,-1112,-14820,13708,87394,101102,92382,10036-0000,199205,NA,2017
DOWNTOWN MUSIC PRODUCTIONS INC,White,music: other,N,N,n/a,MD,closed?,2,1000,-1921,-11043,7429,26250,33679,33144,10003-7203,198611,NA,2017
DRUM MAJOR INSTITUTE INC,Black,music: other,Y,Y,n/a,NA,NA,1,109789,-96551,7078,-103629,304669,201040,191040,10017-0000,199912,NA,2017
E MONTE MOTION INC,White,dance: other,N,N,n/a,N,"changed to emerge125, now an ooc",4,14500,-19441,NA,-1585,264003,262418,226521,10027-3811,198209,NA,2017
EMF INSTITUTE LTD,White,music: other,N,N,n/a,N,NA,NA,NA,-804,NA,-804,9870,9066,9066,10023-5739,201703,NA,2017
EN GARDE ARTS INC,White,theater,N,N,n/a,Y,NA,5,61000,-17210,-33909,16699,465060,481759,238970,10001-6763,201410,NA,2017
