NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
ABINGDON THEATRE COMPANY,White,theater,N,N,n/a,Y,NA,NA,15,124115,-69985,32922,-102907,911570,808663,415178,10003-2168,199404,2015
ACTORS COMPANY THEATRE INC,White,theater,N,N,n/a,N,NA,NA,12,174000,-9734,27174,-36908,747203,710295,468915,10003-1223,199207,2015
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-1716219,-1196064,-520155,2751574,2231419,815438,10019-6895,201101,2015
ACTORS THEATRE WORKSHOP INC,White,theater,N,N,n/a,N,NA,NA,2,2150,-108059,-109180,1120,203065,204185,157680,10001-6114,199101,2015
ALWAN FOUNDATION INC,Middle Eastern,multidisciplinary,Y,Y,n/a,NA,NA,NA,1,2500,-10437,4942,-15379,276816,261437,220450,10004-2333,200407,2015
AMERICAN DANCE MACHINE FOR THE 21ST CENTURY FOUNDATION INC,White,theater,N,N,n/a,N,NA,NA,2,10000,-140712,10802,-151514,865467,713953,412800,10075-0189,201211,2015
AMERICAN MODERN ENSEMBLE,White,music: classical,N,N,n/a,N,NA,NA,5,29500,-4367,-7789,4183,200531,204714,106131,10036-6316,200708,2015
AMERICAN SYMPHONY ORCHESTRA INC,White,music: classical,N,N,n/a,N,NA,NA,7,49450,-931715,-1023700,91985,4825448,4917433,2756183,10018-4483,196412,2015
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,5,105725,-30893,-46757,15864,792346,808210,342784,10014-2840,198803,2015
ANDREW JANNETTI & DANCERS,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-4089,-9468,5379,38502,43881,1544,10012-3568,198602,2015
APPLAUSE ARTS FOUNDATION INC,White,multidisciplinary,N,N,n/a,MD,NA,closed? 2017,NA,NA,-3107,NA,-3107,15457,12350,12350,10021-2819,201602,2015
ARCOS ORCHESTRA LTD,Multiracial,music: classical,Y,Y,n/a,NA,NA,NA,NA,NA,-11742,-11742,0,0,0,0,10032-5806,200811,2015
ARGENTINE TANGO SOCIETY ELMALEH FISH JOSEPH,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-349283,-221278,-128005,153926,25921,25886,10065-7289,201407,2015
ART HOUSE ASTORIA CONSERVATORY FOR MUSIC AND ART INCORPORATED,White,multidisciplinary,N,N,Youth,N,NA,NA,NA,NA,-8790,-720,-8070,164635,156565,1736,11106-4096,201009,2015
ART START INCORPORATED,Multiracial,multidisciplinary,Y,Y,Youth,NA,NA,NA,7,81655,-56477,-60184,3707,451613,455320,455320,10009-6989,199904,2015
ART SWEATS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-101142,-78365,-31480,290295,258815,20555,10003-8384,199506,2015
ARTS HOUSE SCHOOLS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-16125,-8481,-9306,150243,140937,56767,11224-2810,200806,2015
ARTSTOR INC,White,visual arts,N,N,n/a,N,NA,NA,2,135000,-3950956,463612,-4431275,15122936,10691661,135091,10016-5422,200306,2015
ASIAN CINE VISION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-139902,NA,-11146,89482,78336,33446,11201-1122,198704,2015
ASTORIA MUSIC SOCIETY INC,White,music: classical,N,N,n/a,MD,NA,closed?,NA,NA,-2524,-809,-1715,42829,41114,27408,11105-3406,200408,2015
BAR HARBOR FESTIVAL CORPORATION,White,music: classical,N,N,n/a,N,NA,NA,6,24400,-92447,-111662,19215,251302,270517,185320,10025-6222,196712,2015
BHQFU INC,White,multidisciplinary,N,N,n/a,Y,NA,NA,1,500,-44544,27313,-71857,492157,420300,0,11232-0000,201407,2015
BIG APPLE CIRCUS LTD,White,other,N,N,n/a,N,NA,NA,40,511247,-886817,-1309030,514658,19186080,19700738,6043854,11201-3873,200003,2015
BILLIE HOLIDAY THEATRE INCORPORATED,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,1,70000,-358932,-507873,75189,457743,532932,293586,11216-5372,201210,2015
BLACK GIRLS ROCK INC,Black,music: other,Y,Y,Youth,NA,NA,NA,NA,NA,-212363,-213105,9201,184581,193782,179358,11238-1916,201502,2015
BOFFO INC,Multiracial,multidisciplinary,Y,Y,n/a,NA,NA,NA,NA,NA,-80499,-209225,26726,213795,240521,200837,10012-4516,201104,2015
BOOKLYN INCORPORATED,White,literary arts,Y,N,n/a,Y,NA,NA,NA,NA,-54771,34843,-89614,335169,245555,32551,11222-1553,200304,2015
