NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
3-LEGGED DOG INC,White,multidisciplinary,N,N,n/a,N,NA,NA,3,1537941,-5628821,-5599431,-95723,1326355,1230632,342470,10006-2206,199909,2013
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,1,1500,-856193,-402237,-453956,3115842,2661886,946868,10019-6831,201101,2013
ACTORS THEATRE WORKSHOP INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-131245,-96819,-34426,233972,199546,161175,10001-6114,199101,2013
ALL FOR ONE THEATER FESTIVAL INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-7619,78094,-85713,248791,163078,121067,10036-1413,201209,2013
AMERICAN FESTIVAL OF MICROTONAL MUSIC INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-749,0,-442,9814,9372,7354,10021-0088,199002,2013
AMERICAN JEWISH HERITAGE ORGANIZATION INC,White,folk arts/heritage,N,N,Religion: Jewish,N,NA,NA,NA,NA,-13448,-4870,-8578,62032,53454,53436,10024-1158,198409,2013
AMERICAN MIME INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-249,812,-1061,20415,19354,4290,10003-5204,197109,2013
AMERICAN PLACE THEATRE INC,White,theater,N,N,n/a,MD,NA,closed?,1,10000,-2600,0,-2600,373202,370602,66997,10022-4233,196407,2013
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-62689,0,59939,605820,665759,221333,10014-2840,198803,2013
AMOR ARTIS INC,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-4363,10550,-15468,169161,153693,101658,10024-0097,196311,2013
AMORE OPERA INC,White,opera,N,N,n/a,N,NA,NA,1,500,-1329,2718,-49,159783,159734,35821,10023-0023,201002,2013
ANAKAWONA CULTURAL ASSOCIATION INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,NA,-4724,4716,4724,0,4724,4724,11691-1919,201108,2013
ANDREW JANNETTI & DANCERS,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-4089,-9468,5379,38502,43881,1544,10012-3568,198602,2013
API ARTS AND OUTREACH INC,White,film/electronic/media,N,N,n/a,MD,NA,closed?,NA,NA,-80574,-103895,23321,297415,320736,152263,10010-6903,200909,2013
ARCHIVE OF CONTEMPORARY MUSIC,White,music: other,N,N,n/a,N,NA,NA,1,200000,-50423,-43690,6167,279049,285216,242426,10013-3508,198611,2013
ARCOS ORCHESTRA LTD,Multiracial,music: classical,Y,Y,n/a,NA,NA,NA,NA,NA,-11742,-15856,4114,75329,79443,315,10032-5806,200811,2013
ARDEA ARTS INC,White,opera,N,N,n/a,N,NA,NA,NA,NA,-12844,-4128,-8729,107329,98600,90275,10013-2654,200612,2013
ARGENTINE-TANGO SOCIETY,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-26948,0,-25283,39400,14117,14114,10065-7289,201407,2013
ART COUNCIL INC,White,visual arts,N,N,n/a,N,NA,NA,3,31000,-141450,-276226,29542,532372,561914,509030,11201-0000,199809,2013
