NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
ART START INCORPORATED,Multiracial,multidisciplinary,Y,Y,Youth,NA,NA,NA,4,57500,-31632,4484,-36116,374278,338162,338162,10009-6989,199904,2013
ART SWEATS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-35274,0,9729,249145,258874,91126,10003-8384,199506,2013
ARTS HOUSE SCHOOLS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-9465,-487,2250,87872,90122,5293,11224-2810,200806,2013
ASIAN CINE-VISION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-118160,-108511,-9649,105089,95440,55084,10001-4010,198704,2013
ASTORIA MUSIC SOCIETY INC,White,music: classical,N,N,n/a,MD,NA,closed?,NA,NA,-809,567,-1376,43086,41710,23203,11105-3406,200408,2013
AUBIN PICTURES INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,NA,-35198,79031,-114229,314446,200217,177534,10013-3135,199704,2013
BAR HARBOR FESTIVAL CORPORATION,White,music: classical,N,N,n/a,N,NA,NA,3,3850,-87147,-70896,-16251,239008,222757,148700,10025-6222,196712,2013
BEL CANTO SOCIETY INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-13037,442,-13479,30120,16641,500,10023-0000,198704,2013
BIG TREE PRODUCTIONS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-9797,-3990,-5807,139330,133523,98540,10014-1673,200212,2013
BILLIE HOLIDAY THEATRE INCORPORATED,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-354034,0,42151,271572,313723,114408,11216-5372,201210,2013
BINDLESTIFF FAMILY VARIETY ARTS INC,White,other,N,N,n/a,N,NA,NA,1,3200,-9290,14349,-11031,245571,234540,23533,10009-8912,199912,2013
BOFFO INC,Multiracial,multidisciplinary,Y,Y,n/a,NA,NA,NA,NA,NA,-231404,-149222,-82182,180180,97998,59309,10012-4516,201104,2013
BROOKLYN ART INCUBATOR INC,Black,multidisciplinary,Y,Y,Youth,NA,NA,NA,NA,NA,-416,16263,23426,98869,122295,122295,11202-0648,200309,2013
BROOKLYN YOUTH COMPANY INC,Black,theater,Y,Y,Youth,NA,NA,NA,NA,NA,-172,-30,-142,10030,9888,4288,11215-1111,201209,2013
CANTEEN ARTS INC,White,literary arts,N,N,n/a,N,NA,NA,NA,NA,-78050,NA,-21973,80064,58091,58091,11201-2756,200802,2013
CAPOEIRA FOUNDATION INC,Black/Latino,dance: other,Y,Y,n/a,NA,NA,NA,2,20000,-43381,0,-95272,289522,194250,65670,10018-9090,198305,2013
CHAMBER ORCHESTRA OF NEW YORK - OTTORINO RESPIGHI,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-3091,-3860,769,53449,54218,27706,10021-1411,200607,2013
CHILDRENS THEATRE COMPANY,Multiracial,theater,Y,Y,Youth,NA,NA,NA,1,7500,-10184,-12243,2059,172034,174093,97418,10001-5541,200111,2013
CHINESE AMERICAN ARTS COUNCIL INCORPORATED,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-174732,-82090,-92642,146648,54006,50683,10013-5800,198209,2013
CHINESE CULTURAL FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,Y,Y,n/a,NA,NA,NA,NA,NA,-73222,-67957,-5265,124552,119287,119287,10065-7216,200311,2013
CHURCH STREET SCHOOL FOR MUSIC AND ART,White,multidisciplinary,Y,N,Youth,Y,NA,NA,3,23000,-914567,-697377,-234039,1989062,1755023,300437,10007-1194,199402,2013
CLASSICAL THEATRE OF HARLEM INC,Black,theater,N,Y,n/a,NA,NA,NA,2,115000,-64495,-201372,136877,284895,421772,382346,10018-6507,200105,2013
COLLABORATIVE URBAN SCULPTURE,White,visual arts,N,N,n/a,Y,NA,NA,NA,NA,-12286,-12905,619,1431,2050,2050,11205-1202,199002,2013
CONSTITUENT ARTS LIMITED,White,theater,N,N,n/a,MD,NA,closed?,NA,NA,-5879,-5204,-675,25391,24716,19599,10016-6700,197908,2013
COVENANT BALLET THEATRE OF BROOKLYN,White,dance: ballet,N,N,n/a,N,NA,NA,1,1670,-4696,20043,-24739,249291,224552,77260,11223-2314,200808,2013
CREATIVE MUSIC THERAPY STUDIO,White,music: other,N,N,n/a,MD,NA,NA,NA,NA,-2133,-1017,-1116,62085,60969,0,10011-4213,200212,2013
CULTURAL COLLABORATIVE JAMAICA INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-107665,-47354,-28556,90477,61921,61921,11431-1155,201406,2013
CULTURE PROJECT INC,White,theater,Y,N,n/a,Y,NA,NA,14,225000,-586517,200056,-786573,2191278,1404705,786018,10012-2473,199801,2013
CULTURENOW INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-6633,-12661,6028,66815,72843,66670,10001-5584,200210,2013
CURRAN EVENTS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-3125,3396,-6521,176639,170118,14253,10003-9406,200109,2013
DAEDALUS PRODUCTIONS INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,NA,-30547,736,-31547,65939,34392,5000,10024-3708,198206,2013
DANCE GIANT STEPS INC,White,dance: other,Y,N,n/a,Y,NA,NA,NA,NA,-23464,-14703,-8761,45891,37130,35458,11201-3548,198209,2013
DANCE PROJECT SEQUENCE INC,White,dance: other,N,N,n/a,MD,NA,closed?,NA,NA,-277641,-276774,-867,58182,57315,13648,11101-1635,199708,2013
DANCE RING,White,dance: ballet,N,N,Youth,N,NA,NA,NA,NA,-153120,31921,-185041,1207924,1022883,528446,10016-6825,197902,2013
DANCE4LIFE USA INC,White,dance: other,Y,N,n/a,N,NA,NA,NA,NA,-119755,-76461,-43294,101794,58500,58500,10003-2168,201206,2013
DANCING CRANE INC,White,folk arts/heritage,N,N,n/a,N,Cultural Heritage,NA,NA,NA,-53458,-45555,-7903,133282,125379,27065,11204-3905,200012,2013
DANIEL FERRO VOCAL PROGRAM INC,White,music: other,N,N,n/a,N,NA,NA,1,1000,-80942,-67051,-13891,124967,111076,54936,10022-8511,199407,2013
DIVERSE CITY THEATER COMPANY INC,MD,theater,Y,MD,n/a,MD,NA,NA,NA,NA,-5570,NA,640,63781,64421,64421,10119-0002,200409,2013
DOWNTOWN ARTS DEVELOPMENT INC,White,multidisciplinary,N,N,n/a,MD,NA,closed?,NA,NA,-25258,-24358,-900,900,0,0,10013-1106,200410,2013
DRUM MAJOR INSTITUTE INC,Black,music: other,Y,Y,n/a,NA,NA,NA,NA,NA,-272539,0,-14171,219215,205044,205044,10017-0000,199912,2013
EARLY MUSIC FOUNDATION INC,White,music: classical,N,N,n/a,N,NA,NA,4,25500,-3911,0,-3160,200819,197659,109548,10023-6053,197604,2013
EAST INDIAN MUSIC ACADEMY INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-1139,3806,-4945,132798,127853,127853,11420-1516,199909,2013
EL MUNDO DEL FLAMENCO INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-2171,4810,-6981,109281,102300,93870,10007-1868,200410,2013
ELDERS SHARE THE ARTS INC,White,multidisciplinary,N,N,Elderly,N,NA,closed 2019,3,19000,-14015,-4133,-9882,168418,158536,103478,11217-1695,198312,2013
EMERGING ARTISTS THEATRE CO INC,White,theater,N,N,n/a,N,NA,NA,1,50,-27843,0,24704,92503,117207,59664,10001-6439,199405,2013
EPIC THEATRE CENTER INC,White,theater,N,N,n/a,Y,NA,NA,7,355000,-294360,-41137,-253223,1175883,922660,666721,10018-0568,200105,2013
EQUILATERAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,closed?,NA,NA,-5230,0,683,32659,33342,1551,10018-5635,201405,2013
ETC WORKSHOP INC,MD,film/electronic/media,MD,MD,MD,MD,NA,closed?,NA,NA,-392618,0,-392618,392618,0,0,10010-2617,197509,2013
FANFARE THEATRE ENSEMBLE INC,White,theater,N,N,n/a,MD,NA,NA,NA,NA,-55337,-61756,6419,53026,59445,37000,10003-9001,197504,2013
FAUX REAL THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-9651,3431,-13083,39773,26690,21225,11205-1125,199707,2013
FORESIGHT FILMS INC,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,NA,-769491,-617969,-151522,151797,275,0,11217-2213,198307,2013
FOUNDATION 20 21,White,film/electronic/media,N,N,n/a,MD,NA,NA,NA,NA,-566500,-702940,136440,17383,153823,21000,10011-3302,199304,2013
FRENCH CONSERVATORY OF MUSIC INC,White,music: classical,N,N,n/a,MD,NA,NA,NA,NA,-11294,0,-4268,19662,15394,14994,10019-5515,199501,2013
FRIGID NEW YORK INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-1772,1950,-3722,55546,51824,24756,10003-8904,201004,2013
GATEWAVE INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-177887,-193001,15114,8819,23933,23933,10003-6311,201004,2013
GELSEY KIRKLAND ACADEMY OF CLASSICAL BALLET,White,dance: ballet,N,N,n/a,N,NA,NA,NA,NA,-140909,32492,-173401,1708177,1534776,80656,10025-5880,201012,2013
GERMAN AMERICAN COMMUNITY PROJECT INC,White,multidisciplinary,N,N,n/a,N,Cultural Heritage,NA,NA,NA,-89,1154,-1243,24802,23559,13118,10163-1501,200806,2013
GLOBAL VILLAGE MEDIA INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,NA,-75061,-75254,193,82692,82885,82885,10025-3322,198705,2013
GOOD PENNYWORTHS INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-337,-735,398,8869,9267,819,10025-5545,198709,2013
GOTHAM STAGE COMPANY INC,White,theater,N,N,n/a,N,NA,closed?,NA,NA,-723,-18952,18229,5489,23718,5719,10025-7493,200508,2013
GRAN PARADA DOMINICANA DE EL BRONX,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-13813,-13579,-234,197103,196869,196869,10451-2350,200402,2013
GROUND UP PRODUCTIONS,White,theater,N,N,n/a,N,NA,NA,1,1000,-497,3600,-4097,60197,56100,35279,10014-5717,200707,2013
HABITAT4MUSIC INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-20515,-19607,-908,24778,23870,10105,10463-6128,201305,2013
HAITIAN CULTURAL FOUNDATION INC,Black,visual arts,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-2183,19083,-21266,53576,32310,32310,10012-4158,201009,2013
HARBOR LIGHTS THEATER COMPANY INC,White,theater,N,N,n/a,MD,NA,NA,NA,NA,-38741,-11256,-27485,283727,256242,64278,10301-1432,201010,2013
HARMONIE ENSEMBLE INC,White,music: classical,N,N,n/a,N,NA,NA,1,5000,-32670,-26832,-5838,57881,52043,35747,10025-5386,198201,2013
HARVESTWORKS INC,White,film/electronic/media,N,N,n/a,N,NA,NA,5,78500,-95077,-89921,9939,471749,481688,368745,10012-3396,197706,2013
HATCH BILLOPS COLLECTION INC,Black,folk arts/heritage,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-3546,-2661,-885,10552,9667,6248,10012-4412,197703,2013
HISPANIC ORGANIZATION OF LATIN ACTORS,Hispanic/Latino,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,NA,-1476,5431,-6907,81176,74269,68668,10002-3387,198111,2013
HOTEL SAVANT THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-18907,13622,-2074,29843,27769,27769,10001-6060,200711,2013
HOUSE FOUNDATION FOR THE ARTS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,5,131000,-104144,-102201,-1943,740684,738741,396787,10013-2259,197205,2013
HUNDRED GRAND DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-18758,-25351,5963,68117,74080,12375,10013-2659,199406,2013
I GIULLARI DI PIAZZA INC,White,folk arts/heritage,N,N,n/a,N,NA,NA,1,10000,-2431,-2390,-41,96946,96905,17500,10025-1747,198307,2013
INDEPENDENT FILMWORKS INC,White,film/electronic/media,Y,N,n/a,N,NA,NA,NA,NA,-69111,-18656,-50455,169281,118826,117900,10001-6818,199507,2013
INDIAN CULTURAL SOCIETY INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,NA,-3540,1040,-4580,5580,1000,1000,11420-1618,200804,2013
INDO-AMERICAN ARTS COUNCIL INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,2,6000,-46876,0,2102,351639,353741,197540,10128-7673,199901,2013
INFINITY DANCE THEATER COMPANY LTD,White,dance: other,N,N,Disability,N,NA,NA,NA,NA,-32951,-47516,14565,23099,37664,33585,10025-7484,199707,2013
INNERVISION THEATRE ARTS CENTER INC,Black,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-209603,-190344,-18793,247886,229093,10000,11434-1335,201008,2013
INSTITUTE FOR URBAN DESIGN INCORPORATED,White,architecture and design,N,N,n/a,MD,NA,NA,NA,NA,-40434,6891,-44042,361400,317358,299515,10011-5510,197807,2013
INTERNATIONAL ARTS RELATIONS INC,Hispanic/Latino,theater,N,Y,n/a,NA,NA,NA,2,22000,-31428,-19675,-11753,231638,219885,201854,10108-0756,197208,2013
INTERNATIONAL DESIGN NETWORK FOUNDATION,White,architecture and design,N,N,n/a,MD,NA,closed? 2014,NA,NA,-11853,-10273,-1580,6007,4427,4427,10013-2612,199509,2013
IRISH HUNGER MEMORIAL FOUNDATION,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,NA,-22658,-21952,-706,806,100,100,10104-0101,200803,2013
ITALIAN AMERICAN MUSEUM,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,NA,-1321770,-1053721,-268049,180795,-87254,94859,10461-1802,200204,2013
J-COLLABO ORG CORP,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,NA,-20034,-4170,-15864,52327,36463,35393,10011-6265,201206,2013
JACQUES MARCHAIS CENTER OF TIBETAN ARTS INC,Diverse,visual arts,N,Y,n/a,NA,Cultural Heritage,NA,2,1050,-36323,-18422,-17901,161420,143519,103945,10306-1217,197309,2013
JAZZREACH PERFORMING ART & EDUCATION ASSOCIATION,White,music: other,N,N,n/a,N,NA,NA,1,10000,-16190,-1178,-15012,281431,266419,133724,11201-1076,199403,2013
JEZEBEL PRODUCTIONS INC,White,film/electronic/media,N,N,Women,N,NA,NA,NA,NA,-41729,-37350,-4379,28275,23896,435,10011-0000,199111,2013
JOSE LIMON DANCE FOUNDATION,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,7,64200,-318252,-464291,100129,1269154,1369283,554783,10018-0086,198610,2013
KAZUKO HIRABAYASHI DANCE THEATRE INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-5104,-10565,5461,51740,57201,12350,10002-2816,197401,2013
KEYSTONE DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,1,1000,-20535,-19354,-1181,8855,7674,6672,10001-4902,199307,2013
KINDRED SPIRITS FOUNDATION INC,White,multidisciplinary,N,N,Youth,ND,NA,NA,NA,NA,-87128,-81884,-5244,58988,53744,30600,10023-5401,199504,2013
KINGS MAJESTIC CORPORATION,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,4,102500,-28490,53700,-82190,683585,601395,591660,11217-1112,199401,2013
KOREAN AMERICAN ASSOCIATION OF QUEENS NEW YORK,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-13162,2397,-15559,136078,120519,6700,11355-1088,201208,2013
KOREAN AMERICAN HERITAGE FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-46363,-45088,-1275,128865,127590,0,10471-1009,201112,2013
LABYRINTH INC,White,theater,N,N,n/a,N,NA,NA,6,69750,-36597,-106903,70306,1006837,1077143,796251,10014-2049,200204,2013
LES BALLETS GRANDIVA LTD,White,dance: ballet,N,N,n/a,N,NA,NA,NA,NA,-42803,-28924,-13879,14659,780,0,10017-0000,200204,2013
LIFE THROUGH DANCE INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-23024,-13562,-9462,53686,44224,32855,10025-3455,199310,2013
LILITH PUBLICATIONS INC,White,literary arts,N,N,Women/Jewish,N,NA,NA,NA,NA,-31085,-30944,-141,552944,552803,454107,10107-2420,197504,2013
LITTLE OPERA THEATRE OF NY INC,White,opera,N,N,n/a,N,NA,NA,1,5000,-1035,0,-1035,118457,117422,101251,10113-0000,201303,2013
LOLA LOUIS CREATIVE & PERFORMING ARTS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-4693,-5301,117,28838,28955,28955,10466-3155,200707,2013
LUBOVITCH DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,6,69000,-161236,-149966,-11270,716786,705516,395396,10036-7205,197206,2013
MABOU MINES DEVELOPMENT FOUNDATION INC,White,theater,N,N,n/a,Y,NA,NA,8,202000,-10515,32112,-42627,349558,306931,218471,10009-8912,197409,2013
MAGIC CIRCLE OPERA REPRETORY ENSEMBLE INC,White,opera,N,N,n/a,N,NA,NA,NA,NA,-13390,-20293,6903,73883,80786,23500,10023-4324,198112,2013
MANHATTAN ENSEMBLE THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-1457049,-1450911,-6138,54434,48296,47207,10014-3276,199912,2013
MANHATTAN YOUTH BALLET INC,White,dance: ballet,N,N,Youth,N,NA,NA,NA,NA,-159875,-226734,66859,621843,688702,0,10023-0000,200703,2013
MANNA HOUSE WORKSHOPS INC,Black,music: other,Y,Y,n/a,NA,NA,NA,1,1000,-123616,-114837,-21622,130594,108972,53027,10029-4833,196804,2013
MARTHA GRAHAM SCHOOL OF CONTEMPORARY DANCE INC,White,dance: other,N,N,n/a,N,NA,NA,1,1000,-525544,-486296,-39248,579627,540379,125962,10065-7702,195901,2013
MARVELL REPERTORY THEATRE INC,White,theater,N,N,n/a,MD,NA,closed?,2,1500,-6067,-4000,-43031,253978,210947,148637,10025-5413,201009,2013
MEDICINE SHOW THEATRE ENSEMBLE INC,White,theater,N,N,n/a,N,NA,closed?,1,4000,-1653,-595,-1058,57331,56273,26335,10019-5012,197212,2013
MELA FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,NA,NA,1,75000,-4807,13475,-18282,250519,232237,153478,10013-3414,198710,2013
METEOR FILMS INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,NA,-4174,2116,-6290,136114,129824,129824,10014-7500,200411,2013
MILLENNIUM DANCE COMPANY INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,NA,-20973,6462,-23677,116096,92419,0,10030-2405,199712,2013
MIMI GARRARD DANCE COMPANY INC,White,multidisciplinary,N,N,n/a,N,NA,NA,1,2500,-51276,-50967,-309,7894,7585,7585,10175-0003,197301,2013
MIRROR THEATRE LTD,White,theater,N,N,n/a,N,NA,NA,NA,NA,-521,524,-1045,158818,157773,131695,10021-0033,198301,2013
MISNOMER,White,dance: other,N,N,n/a,N,NA,NA,1,1000,-30028,89887,-119915,566352,446437,21699,11218-2108,200809,2013
MODERN AND COMTEMPORARY ART SUPPORT CORP,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-4696172,-4238666,-457506,716639,259133,0,10019-5401,199611,2013
MODERN-DAY GRIOT THEATRE COMPANY,Black,theater,N,Y,n/a,NA,NA,NA,NA,NA,-18606,0,-18606,29135,10529,600,11217-1695,201302,2013
MULLER WORKS FOUNDATION,White,dance: other,N,N,n/a,N,NA,closed?,1,2000,-140066,0,-33106,507709,474603,379185,10011-1942,197501,2013
MUSIC ASSOCIATES OF NEW YORK LTD,MD,music: classical,MD,MD,MD,MD,NA,NA,NA,NA,-18537,-7250,-11287,14093,2806,2800,11360-4565,198210,2013
MUSIC AT THE ANTHOLOGY INC,White,music: other,N,N,n/a,N,NA,NA,2,6000,-16295,1577,-17872,138305,120433,120433,10013-2260,200103,2013
MUSIC BRIDGES INTERNATIONAL INC,White,music: classical,N,N,n/a,MD,NA,closed?,NA,NA,-2540,85,-2625,2625,0,0,10023-2789,200509,2013
MUSIC FOR LIFE INTERNATIONAL INC,White,music: other,Y,N,n/a,N,NA,NA,2,3000,-5591,19296,-24887,40704,15817,15817,10031-5229,201011,2013
MUSIC OF THE SPHERES SOCIETY INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-10553,-8112,-2441,12658,10217,6420,10024-6893,200212,2013
MUSIC THEATRE GROUP INC,White,theater,N,N,n/a,MD,NA,closed 2016,1,1000,-116951,-132644,40503,59153,99656,99199,11201-8352,196504,2013
MUSICA SACRA INC,White,music: other,N,N,n/a,N,NA,NA,1,5000,-55951,-80945,24994,637069,662063,323610,11201-1952,197403,2013
NAKED ANGELS LTD,White,theater,N,N,n/a,N,NA,NA,1,25000,-2177,-24813,22636,112817,135453,124671,10014-2049,199312,2013
NARS FOUNDATION INC,Diverse,visual arts,N,Y,n/a,NA,NA,NA,NA,NA,-5637,-8224,2587,235915,238502,2616,11220-1035,200912,2013
NATIONAL BLACK THEATRE WORKSHOP INCORPORATED,Black,theater,N,Y,n/a,NA,NA,NA,NA,NA,-157193,515917,64061,470334,534395,362808,10030-2406,197005,2013
NATIONAL BLACK TOURING CIRCUIT INC,Black,theater,N,Y,n/a,NA,NA,NA,NA,NA,-36423,-122864,86441,58652,145093,111760,10002-4816,197611,2013
NATIONAL CHORAL COUNCIL INC,White,music: classical,N,N,n/a,N,NA,NA,2,17500,-14875,7619,-22494,552437,529943,140519,10019-6970,196712,2013
NATIONAL JEWELRY INSTITUTE INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-199479,0,75625,219115,294740,294740,10019-4001,200304,2013
NATIONAL MUSIC THEATRE NETWORK INC,White,theater,N,N,n/a,MD,NA,closed 2016,NA,NA,-98510,-91612,-6898,1536253,1529355,562517,10019-7427,198405,2013
NATIONAL PUERTO RICAN DAY PARADE INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-1039510,-880327,-165183,626546,461363,0,10455-4000,199612,2013
NDI CENTER CORP,White,dance: other,N,N,n/a,Y,NA,NA,NA,NA,-1148354,-687790,-460564,574732,114168,0,10039-3427,201012,2013
NEGRO ENSEMBLE COMPANY INC,Black,theater,N,Y,n/a,NA,NA,NA,NA,NA,-28155,-12410,-15745,164142,148397,141244,10036-6908,196703,2013
NEW DANCE ALLIANCE INC,Diverse,dance: other,N,Y,n/a,NA,NA,NA,1,2000,-18626,0,2474,44945,47419,24677,10013-6605,198710,2013
NEW GROUP INC,White,theater,N,N,n/a,Y,NA,NA,9,286500,-250044,-406870,156826,2607434,2764260,1570757,10036-6809,199107,2013
NEW PERSPECTIVES THEATRE COMPANY INC,Multiracial,theater,Y,Y,n/a,NA,NA,NA,NA,NA,-10855,-9707,-1648,59225,57577,38128,10018-4008,199305,2013
NEW YORK ARTISTS EQUITY ASSOCIATION INC,White,visual arts,N,N,n/a,N,NA,NA,NA,NA,-36232,-67466,33707,24257,57964,12580,10003-0000,199201,2013
NEW YORK BAROQUE DANCE CO INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-135777,-133645,-2132,54283,52151,11605,10009-7302,197902,2013
NEW YORK CITY COMMUNITY CHORUS AT HOLY APOSTLES INC,White,music: other,N,N,n/a,Y,NA,NA,NA,NA,-3502,738,-4240,69668,65428,60343,10011-9029,200709,2013
NEW YORK LYRIC OPERA THEATRE INC,White,opera,N,N,n/a,N,NA,NA,NA,NA,-7371,2943,-7723,113558,105835,20,10023-0028,201103,2013
NEW YORK REVELS INC,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-107284,NA,9857,6492,16349,16304,11217-3764,199108,2013
NEW YORK SCANDIA SYMPHONY INC,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-45890,-48395,-724,66160,65436,29869,10150-0583,199012,2013
NICUS SPOON INC,White,theater,Y,N,n/a,Y,NA,NA,NA,NA,-3207,-3207,0,10000,10000,5800,10023-8504,200106,2013
